sampleID,phenotype,dip_depth_hemato,ref_genome,settings
LP0025_07_L004,healthy_control,0.135742251,30memhg19,TrueDI1230XA
LP0025_07_L004,healthy_control,0.144495756,0memhg19decoy,True40
LP0025_07_L004,healthy_control,0.134263018,30memhg19,FalseDI1230XA
LP0025_07_L004,healthy_control,0.135449766,30memhg19decoy,TrueDI26830XA
LP0025_07_L004,healthy_control,0.135287992,30memhg19decoy,FalseDI1230XA
LP0025_07_L004,healthy_control,0.143926606,30memhg19decoy,False40
LP0025_07_L004,healthy_control,0.132803528,0memhg19decoy,TrueDI1230XA
LP0025_07_L004,healthy_control,0.135154286,30memhg19decoy,TrueDI1230XA
LP0025_07_L004,healthy_control,0.136323596,30memhg19,TrueDI26830XA
LP0025_07_L004,healthy_control,0.134188441,0memhg19decoy,FalseDI1230XA
LP0025_08_L004,healthy_control,0.157460998,30memhg19,False40
LP0025_08_L004,healthy_control,0.150741647,30memhg19decoy,TrueDI1230XA
LP0025_08_L004,healthy_control,0.152565899,30memhg19,FalseDI26830XA
LP0025_08_L004,healthy_control,0.155657398,0memhg19,False40
LP0025_08_L004,healthy_control,0.150204753,0memhg19decoy,FalseDI26830XA
LP0025_08_L004,healthy_control,0.153216248,30memhg19decoy,TrueDI26830XA
LP0025_08_L004,healthy_control,0.152912809,0memhg19,TrueDI26830XA
LP0025_08_L004,healthy_control,0.153959027,30memhg19decoy,False40
LP0025_08_L004,healthy_control,0.153638328,0memhg19,FalseDI1230XA
LP0025_08_L004,healthy_control,0.150431968,30memhg19decoy,FalseDI26830XA
LP0025_08_L004,healthy_control,0.15274812,0memhg19decoy,True40
LP0025_08_L004,healthy_control,0.152594616,30memhg19,FalseDI1230XA
LP0025_08_L004,healthy_control,0.154403293,30memhg19,True40
LP0025_08_L004,healthy_control,0.153740019,30memhg19,TrueDI26830XA
LP0025_08_L004,healthy_control,0.153913474,0memhg19,FalseDI26830XA
LP0025_08_L004,healthy_control,0.152775113,0memhg19decoy,TrueDI1230XA
LP0025_08_L004,healthy_control,0.157315004,0memhg19,True40
LP0025_08_L004,healthy_control,0.153650191,0memhg19decoy,False40
LP0025_08_L004,healthy_control,0.150218826,0memhg19decoy,FalseDI1230XA
LP0025_08_L004,healthy_control,0.153434093,30memhg19decoy,True40
LP0025_08_L004,healthy_control,0.15308664,0memhg19decoy,TrueDI26830XA
LP0025_08_L004,healthy_control,0.154205593,30memhg19,TrueDI1230XA
LP0025_08_L004,healthy_control,0.151985031,30memhg19decoy,FalseDI1230XA
LP0025_08_L004,healthy_control,0.154241133,0memhg19,TrueDI1230XA
LP0025_10_L003,lung_cancer,0.032609767,0memhg19decoy,FalseDI1230XA
LP0025_10_L003,lung_cancer,0.032298404,30memhg19decoy,FalseDI1230XA
LP0025_10_L003,lung_cancer,0.050752683,30memhg19,True40
LP0025_10_L003,lung_cancer,0.047225475,30memhg19decoy,False40
LP0025_10_L003,lung_cancer,0.037716412,30memhg19decoy,TrueDI26830XA
LP0025_10_L003,lung_cancer,0.032920106,0memhg19,FalseDI26830XA
LP0025_10_L003,lung_cancer,0.034996068,0memhg19,TrueDI26830XA
LP0025_10_L003,lung_cancer,0.032980575,0memhg19decoy,FalseDI26830XA
LP0025_10_L003,lung_cancer,0.045788692,0memhg19decoy,True40
LP0025_10_L003,lung_cancer,0.034868301,30memhg19,FalseDI1230XA
LP0025_10_L003,lung_cancer,0.046020328,0memhg19decoy,False40
LP0025_10_L003,lung_cancer,0.041997737,30memhg19,TrueDI1230XA
LP0025_10_L003,lung_cancer,0.035030359,30memhg19,FalseDI26830XA
LP0025_10_L003,lung_cancer,0.047693035,30memhg19,False40
LP0025_10_L003,lung_cancer,0.039541963,30memhg19,TrueDI26830XA
LP0025_10_L003,lung_cancer,0.033028752,30memhg19decoy,FalseDI26830XA
LP0025_10_L003,lung_cancer,0.029086852,0memhg19decoy,TrueDI1230XA
LP0025_10_L003,lung_cancer,0.037905023,0memhg19,TrueDI1230XA
LP0025_10_L003,lung_cancer,0.041447642,0memhg19decoy,TrueDI26830XA
LP0025_10_L003,lung_cancer,0.050311178,30memhg19decoy,True40
LP0025_10_L003,lung_cancer,0.040258545,30memhg19decoy,TrueDI1230XA
LP0025_10_L003,lung_cancer,0.052169665,0memhg19,True40
LP0025_10_L003,lung_cancer,0.044339152,0memhg19,False40
LP0025_10_L003,lung_cancer,0.034314442,0memhg19,FalseDI1230XA
LP0025_11_L003,lung_cancer,0.162689306,30memhg19,True40
LP0025_11_L003,lung_cancer,0.161945408,0memhg19decoy,False40
LP0025_11_L003,lung_cancer,0.159806922,0memhg19,False40
LP0025_11_L003,lung_cancer,0.152766795,30memhg19decoy,FalseDI26830XA
LP0025_11_L003,lung_cancer,0.151147276,0memhg19,FalseDI1230XA
LP0025_11_L003,lung_cancer,0.164613678,0memhg19,True40
LP0025_11_L003,lung_cancer,0.152028352,0memhg19decoy,TrueDI1230XA
LP0025_11_L003,lung_cancer,0.152377112,30memhg19decoy,FalseDI1230XA
LP0025_11_L003,lung_cancer,0.151842877,0memhg19decoy,FalseDI1230XA
LP0025_11_L003,lung_cancer,0.151992901,30memhg19decoy,TrueDI26830XA
LP0025_11_L003,lung_cancer,0.150883383,30memhg19,TrueDI26830XA
LP0025_11_L003,lung_cancer,0.151363629,30memhg19,TrueDI1230XA
LP0025_11_L003,lung_cancer,0.153673038,0memhg19,TrueDI26830XA
LP0025_11_L003,lung_cancer,0.151074221,30memhg19,FalseDI1230XA
LP0025_11_L003,lung_cancer,0.151454327,0memhg19,FalseDI26830XA
LP0025_11_L003,lung_cancer,0.152548989,0memhg19decoy,FalseDI26830XA
LP0025_11_L003,lung_cancer,0.154366387,0memhg19decoy,TrueDI26830XA
LP0025_11_L003,lung_cancer,0.153641503,30memhg19decoy,TrueDI1230XA
LP0025_11_L003,lung_cancer,0.159014726,30memhg19decoy,True40
LP0025_11_L003,lung_cancer,0.15265098,0memhg19,TrueDI1230XA
LP0025_11_L003,lung_cancer,0.162142063,30memhg19,False40
LP0025_11_L003,lung_cancer,0.150305161,30memhg19,FalseDI26830XA
LP0025_11_L003,lung_cancer,0.160110045,30memhg19decoy,False40
LP0025_11_L003,lung_cancer,0.159168861,0memhg19decoy,True40
LP0025_12_L003,lung_cancer,0.167941339,30memhg19,TrueDI1230XA
LP0025_12_L003,lung_cancer,0.167679548,30memhg19decoy,FalseDI1230XA
LP0025_12_L003,lung_cancer,0.173472296,30memhg19decoy,False40
LP0025_12_L003,lung_cancer,0.169215868,30memhg19,TrueDI26830XA
LP0025_12_L003,lung_cancer,0.171053356,0memhg19,FalseDI26830XA
LP0025_12_L003,lung_cancer,0.176647258,0memhg19decoy,False40
LP0025_12_L003,lung_cancer,0.172457476,0memhg19,TrueDI1230XA
LP0025_12_L003,lung_cancer,0.176567613,30memhg19,True40
LP0025_12_L003,lung_cancer,0.170083548,30memhg19,FalseDI1230XA
LP0025_12_L003,lung_cancer,0.169031241,0memhg19decoy,FalseDI1230XA
LP0025_12_L003,lung_cancer,0.17960964,0memhg19,True40
LP0025_12_L003,lung_cancer,0.168753472,30memhg19,FalseDI26830XA
LP0025_12_L003,lung_cancer,0.172764499,0memhg19decoy,TrueDI1230XA
LP0025_12_L003,lung_cancer,0.166369974,30memhg19decoy,FalseDI26830XA
LP0025_12_L003,lung_cancer,0.178237454,0memhg19,False40
LP0025_12_L003,lung_cancer,0.176698742,30memhg19,False40
LP0025_12_L003,lung_cancer,0.170712577,0memhg19decoy,TrueDI26830XA
LP0025_12_L003,lung_cancer,0.174377089,0memhg19,TrueDI26830XA
LP0025_12_L003,lung_cancer,0.166985014,30memhg19decoy,TrueDI26830XA
LP0025_12_L003,lung_cancer,0.168525673,30memhg19decoy,TrueDI1230XA
LP0025_12_L003,lung_cancer,0.175842924,30memhg19decoy,True40
LP0025_12_L003,lung_cancer,0.169210236,0memhg19decoy,FalseDI26830XA
LP0025_12_L003,lung_cancer,0.169550013,0memhg19,FalseDI1230XA
LP0025_12_L003,lung_cancer,0.180757013,0memhg19decoy,True40
LP0025_15_L003,lung_cancer,0.145994345,0memhg19decoy,False40
LP0025_15_L003,lung_cancer,0.138798291,30memhg19decoy,FalseDI1230XA
LP0025_15_L003,lung_cancer,0.141943759,30memhg19,TrueDI26830XA
LP0025_15_L003,lung_cancer,0.139524394,0memhg19decoy,FalseDI1230XA
LP0025_15_L003,lung_cancer,0.14984126,30memhg19,True40
LP0025_15_L003,lung_cancer,0.139464819,30memhg19decoy,TrueDI1230XA
LP0025_15_L003,lung_cancer,0.13962641,30memhg19,FalseDI26830XA
LP0025_15_L003,lung_cancer,0.140076548,0memhg19,FalseDI1230XA
LP0025_15_L003,lung_cancer,0.14026744,30memhg19,TrueDI1230XA
LP0025_15_L003,lung_cancer,0.145904431,30memhg19decoy,True40
LP0025_15_L003,lung_cancer,0.140053833,0memhg19decoy,FalseDI26830XA
LP0025_15_L003,lung_cancer,0.146576071,30memhg19decoy,False40
LP0025_15_L003,lung_cancer,0.140227413,0memhg19decoy,TrueDI1230XA
LP0025_15_L003,lung_cancer,0.150512208,0memhg19,True40
LP0025_15_L003,lung_cancer,0.142459781,0memhg19,TrueDI1230XA
LP0025_15_L003,lung_cancer,0.144260612,0memhg19,TrueDI26830XA
LP0025_15_L003,lung_cancer,0.139407753,30memhg19,FalseDI1230XA
LP0025_15_L003,lung_cancer,0.150979232,0memhg19decoy,True40
LP0025_15_L003,lung_cancer,0.138496548,30memhg19decoy,FalseDI26830XA
LP0025_15_L003,lung_cancer,0.148054515,30memhg19,False40
LP0025_15_L003,lung_cancer,0.150426691,0memhg19,False40
LP0025_15_L003,lung_cancer,0.139088476,30memhg19decoy,TrueDI26830XA
LP0025_15_L003,lung_cancer,0.142458462,0memhg19,FalseDI26830XA
LP0025_15_L003,lung_cancer,0.140645642,0memhg19decoy,TrueDI26830XA
LP0025_17_L003,lung_cancer,0.220709233,0memhg19,True40
LP0025_17_L003,lung_cancer,0.212465713,0memhg19decoy,FalseDI1230XA
LP0025_17_L003,lung_cancer,0.20976861,30memhg19,FalseDI1230XA
LP0025_17_L003,lung_cancer,0.212512002,30memhg19decoy,FalseDI1230XA
LP0025_17_L003,lung_cancer,0.221593822,0memhg19decoy,True40
LP0025_17_L003,lung_cancer,0.218863564,30memhg19decoy,True40
LP0025_17_L003,lung_cancer,0.20973261,30memhg19,TrueDI26830XA
LP0025_17_L003,lung_cancer,0.211331111,0memhg19,FalseDI1230XA
LP0025_17_L003,lung_cancer,0.210195428,0memhg19,FalseDI26830XA
LP0025_17_L003,lung_cancer,0.218599731,30memhg19decoy,False40
LP0025_17_L003,lung_cancer,0.209874579,0memhg19decoy,FalseDI26830XA
LP0025_17_L003,lung_cancer,0.215860473,30memhg19,True40
LP0025_17_L003,lung_cancer,0.210894127,30memhg19,TrueDI1230XA
LP0025_17_L003,lung_cancer,0.218253263,0memhg19,False40
LP0025_17_L003,lung_cancer,0.21412302,0memhg19,TrueDI1230XA
LP0025_17_L003,lung_cancer,0.219465176,0memhg19decoy,False40
LP0025_17_L003,lung_cancer,0.212022919,30memhg19decoy,TrueDI26830XA
LP0025_17_L003,lung_cancer,0.218075516,30memhg19,False40
LP0025_17_L003,lung_cancer,0.213341609,0memhg19decoy,TrueDI26830XA
LP0025_17_L003,lung_cancer,0.21147834,30memhg19decoy,FalseDI26830XA
LP0025_17_L003,lung_cancer,0.21017594,30memhg19,FalseDI26830XA
LP0025_17_L003,lung_cancer,0.211358651,0memhg19decoy,TrueDI1230XA
LP0025_17_L003,lung_cancer,0.2124635,30memhg19decoy,TrueDI1230XA
LP0025_17_L003,lung_cancer,0.212893152,0memhg19,TrueDI26830XA
LP0025_21_L004,lung_cancer,0.171014829,0memhg19decoy,True40
LP0025_21_L004,lung_cancer,0.171505814,30memhg19decoy,FalseDI26830XA
LP0025_21_L004,lung_cancer,0.170342034,0memhg19,FalseDI1230XA
LP0025_21_L004,lung_cancer,0.171382922,30memhg19decoy,TrueDI1230XA
LP0025_21_L004,lung_cancer,0.177795016,30memhg19,True40
LP0025_21_L004,lung_cancer,0.1691755,0memhg19decoy,TrueDI1230XA
LP0025_21_L004,lung_cancer,0.174352807,0memhg19decoy,False40
LP0025_21_L004,lung_cancer,0.169965222,30memhg19,TrueDI1230XA
LP0025_21_L004,lung_cancer,0.175517416,0memhg19,True40
LP0025_21_L004,lung_cancer,0.175343231,30memhg19decoy,True40
LP0025_21_L004,lung_cancer,0.167310323,0memhg19decoy,FalseDI26830XA
LP0025_21_L004,lung_cancer,0.170063144,0memhg19decoy,FalseDI1230XA
LP0025_21_L004,lung_cancer,0.178952004,30memhg19decoy,False40
LP0025_21_L004,lung_cancer,0.170868315,30memhg19decoy,FalseDI1230XA
LP0025_21_L004,lung_cancer,0.171298891,0memhg19,FalseDI26830XA
LP0025_21_L004,lung_cancer,0.170251295,0memhg19,TrueDI1230XA
LP0025_21_L004,lung_cancer,0.177538988,0memhg19,False40
LP0025_21_L004,lung_cancer,0.173543505,30memhg19,FalseDI1230XA
LP0025_21_L004,lung_cancer,0.169162079,0memhg19,TrueDI26830XA
LP0025_21_L004,lung_cancer,0.170617502,30memhg19decoy,TrueDI26830XA
LP0025_21_L004,lung_cancer,0.172540463,30memhg19,TrueDI26830XA
LP0025_21_L004,lung_cancer,0.174531024,30memhg19,FalseDI26830XA
LP0025_21_L004,lung_cancer,0.168976696,0memhg19decoy,TrueDI26830XA
LP0025_21_L004,lung_cancer,0.177439633,30memhg19,False40
LP0025_24_L003,lung_cancer,0.12225877,0memhg19,FalseDI1230XA
LP0025_24_L003,lung_cancer,0.12793322,0memhg19decoy,False40
LP0025_24_L003,lung_cancer,0.119542948,30memhg19decoy,FalseDI1230XA
LP0025_24_L003,lung_cancer,0.123014198,30memhg19,TrueDI1230XA
LP0025_24_L003,lung_cancer,0.129310081,30memhg19decoy,True40
LP0025_24_L003,lung_cancer,0.126812779,30memhg19,False40
LP0025_24_L003,lung_cancer,0.128692785,0memhg19,True40
LP0025_24_L003,lung_cancer,0.121826217,0memhg19decoy,TrueDI1230XA
LP0025_24_L003,lung_cancer,0.127079358,30memhg19decoy,False40
LP0025_24_L003,lung_cancer,0.119836407,30memhg19decoy,FalseDI26830XA
LP0025_24_L003,lung_cancer,0.122203377,0memhg19decoy,FalseDI1230XA
LP0025_24_L003,lung_cancer,0.120120531,30memhg19decoy,TrueDI1230XA
LP0025_24_L003,lung_cancer,0.121243851,30memhg19,FalseDI1230XA
LP0025_24_L003,lung_cancer,0.120929028,30memhg19,FalseDI26830XA
LP0025_24_L003,lung_cancer,0.120437524,0memhg19decoy,FalseDI26830XA
LP0025_24_L003,lung_cancer,0.124355679,0memhg19,FalseDI26830XA
LP0025_24_L003,lung_cancer,0.12835189,0memhg19,False40
LP0025_24_L003,lung_cancer,0.120665925,0memhg19decoy,TrueDI26830XA
LP0025_24_L003,lung_cancer,0.13146654,30memhg19,True40
LP0025_24_L003,lung_cancer,0.123752664,0memhg19,TrueDI26830XA
LP0025_24_L003,lung_cancer,0.121372113,30memhg19decoy,TrueDI26830XA
LP0025_24_L003,lung_cancer,0.124112178,0memhg19decoy,True40
LP0025_24_L003,lung_cancer,0.121851774,30memhg19,TrueDI26830XA
LP0025_24_L003,lung_cancer,0.12509076,0memhg19,TrueDI1230XA
LP0026_05_L003,lung_cancer,0.095339721,0memhg19decoy,TrueDI1230XA
LP0026_05_L003,lung_cancer,0.094453993,30memhg19decoy,FalseDI1230XA
LP0026_05_L003,lung_cancer,0.095889981,0memhg19,TrueDI1230XA
LP0026_05_L003,lung_cancer,0.101046461,0memhg19decoy,True40
LP0026_05_L003,lung_cancer,0.093518003,0memhg19,FalseDI1230XA
LP0026_05_L003,lung_cancer,0.092980208,30memhg19,FalseDI1230XA
LP0026_05_L003,lung_cancer,0.094133841,30memhg19,TrueDI1230XA
LP0026_05_L003,lung_cancer,0.093466776,0memhg19,FalseDI26830XA
LP0026_05_L003,lung_cancer,0.102421344,0memhg19,True40
