sampleID,phenotype,ref_genome,settings,value,feature
LP0029_05_L004,healthy_control,0memhg19,FalseDI1230XA,0.981756438,coverage
LP0029_06_L003,healthy_control,0memhg19,FalseDI1230XA,0.966020219,coverage
LP0030_03_L004,healthy_control,0memhg19,FalseDI1230XA,0.973328265,coverage
LP0030_05_L004,healthy_control,0memhg19,FalseDI1230XA,0.989147411,coverage
LP0025_01_L004,healthy_control,0memhg19,FalseDI26830XA,0.969071856,coverage
LP0025_02_L004,healthy_control,0memhg19,FalseDI26830XA,0.936437359,coverage
LP0025_03_L003,healthy_control,0memhg19,FalseDI26830XA,0.97961481,coverage
LP0025_04_L004,healthy_control,0memhg19,FalseDI26830XA,0.986345021,coverage
LP0025_05_L003,lung_cancer,0memhg19,FalseDI26830XA,0.969843219,coverage
LP0025_06_L003,lung_cancer,0memhg19,FalseDI26830XA,0.98283846,coverage
LP0025_07_L004,healthy_control,0memhg19,FalseDI26830XA,0.979827967,coverage
LP0025_08_L004,healthy_control,0memhg19,FalseDI26830XA,0.990834241,coverage
LP0025_10_L003,lung_cancer,0memhg19,FalseDI26830XA,0.443973283,coverage
LP0025_11_L003,lung_cancer,0memhg19,FalseDI26830XA,0.991012551,coverage
LP0025_12_L003,lung_cancer,0memhg19,FalseDI26830XA,0.974325692,coverage
LP0025_15_L003,lung_cancer,0memhg19,FalseDI26830XA,0.978401039,coverage
LP0025_17_L003,lung_cancer,0memhg19,FalseDI26830XA,0.973837619,coverage
LP0025_21_L004,lung_cancer,0memhg19,FalseDI26830XA,0.942478231,coverage
LP0025_24_L003,lung_cancer,0memhg19,FalseDI26830XA,0.977954531,coverage
LP0026_05_L003,lung_cancer,0memhg19,FalseDI26830XA,0.887021272,coverage
LP0026_07_L003,lung_cancer,0memhg19,FalseDI26830XA,0.953910664,coverage
LP0026_08_L003,lung_cancer,0memhg19,FalseDI26830XA,0.817045936,coverage
LP0026_22_L003,lung_cancer,0memhg19,FalseDI26830XA,0.947005778,coverage
LP0026_26_L004,lung_cancer,0memhg19,FalseDI26830XA,0.61627634,coverage
LP0026_38_L004,lung_cancer,0memhg19,FalseDI26830XA,0.947406848,coverage
LP0026_42_L004,lung_cancer,0memhg19,FalseDI26830XA,0.933542167,coverage
LP0027_26_L003,lung_cancer,0memhg19,FalseDI26830XA,0.935006796,coverage
LP0027_35_L003,lung_cancer,0memhg19,FalseDI26830XA,0.942862551,coverage
LP0027_39_L003,lung_cancer,0memhg19,FalseDI26830XA,0.923838176,coverage
LP0028_01_L004,lung_cancer,0memhg19,FalseDI26830XA,0.970875295,coverage
LP0029_02_L004,healthy_control,0memhg19,FalseDI26830XA,0.99136578,coverage
LP0029_04_L003,healthy_control,0memhg19,FalseDI26830XA,0.97329425,coverage
LP0029_05_L004,healthy_control,0memhg19,FalseDI26830XA,0.981752263,coverage
LP0029_06_L003,healthy_control,0memhg19,FalseDI26830XA,0.966021991,coverage
LP0030_03_L004,healthy_control,0memhg19,FalseDI26830XA,0.973340297,coverage
LP0030_05_L004,healthy_control,0memhg19,FalseDI26830XA,0.989145886,coverage
LP0025_01_L004,healthy_control,0memhg19,True40,0.985013994,coverage
LP0025_02_L004,healthy_control,0memhg19,True40,0.986765886,coverage
LP0025_03_L003,healthy_control,0memhg19,True40,0.993592518,coverage
LP0025_04_L004,healthy_control,0memhg19,True40,0.991241725,coverage
LP0025_05_L003,lung_cancer,0memhg19,True40,0.987684636,coverage
LP0025_06_L003,lung_cancer,0memhg19,True40,0.994510111,coverage
LP0025_07_L004,healthy_control,0memhg19,True40,0.984569833,coverage
LP0025_08_L004,healthy_control,0memhg19,True40,0.990531249,coverage
LP0025_10_L003,lung_cancer,0memhg19,True40,0.550724362,coverage
LP0025_11_L003,lung_cancer,0memhg19,True40,0.989036845,coverage
LP0025_12_L003,lung_cancer,0memhg19,True40,0.978924383,coverage
LP0025_15_L003,lung_cancer,0memhg19,True40,0.982904693,coverage
LP0025_17_L003,lung_cancer,0memhg19,True40,0.980005209,coverage
LP0025_21_L004,lung_cancer,0memhg19,True40,0.978700123,coverage
LP0025_24_L003,lung_cancer,0memhg19,True40,0.986279517,coverage
LP0026_05_L003,lung_cancer,0memhg19,True40,0.964694604,coverage
LP0026_07_L003,lung_cancer,0memhg19,True40,0.977636975,coverage
LP0026_08_L003,lung_cancer,0memhg19,True40,0.9253648,coverage
LP0026_22_L003,lung_cancer,0memhg19,True40,0.977156531,coverage
LP0026_26_L004,lung_cancer,0memhg19,True40,0.771669054,coverage
LP0026_38_L004,lung_cancer,0memhg19,True40,0.973644498,coverage
LP0026_42_L004,lung_cancer,0memhg19,True40,0.97640218,coverage
LP0027_26_L003,lung_cancer,0memhg19,True40,0.970478911,coverage
LP0027_35_L003,lung_cancer,0memhg19,True40,0.978320151,coverage
LP0027_39_L003,lung_cancer,0memhg19,True40,0.970107466,coverage
LP0028_01_L004,lung_cancer,0memhg19,True40,0.988520374,coverage
LP0029_02_L004,healthy_control,0memhg19,True40,0.993923897,coverage
LP0029_04_L003,healthy_control,0memhg19,True40,0.985901099,coverage
LP0029_05_L004,healthy_control,0memhg19,True40,0.991105219,coverage
LP0029_06_L003,healthy_control,0memhg19,True40,0.989341277,coverage
LP0030_03_L004,healthy_control,0memhg19,True40,0.991407646,coverage
LP0030_05_L004,healthy_control,0memhg19,True40,0.99123412,coverage
LP0025_01_L004,healthy_control,0memhg19,TrueDI1230XA,0.974550476,coverage
LP0025_02_L004,healthy_control,0memhg19,TrueDI1230XA,0.968568377,coverage
LP0025_03_L003,healthy_control,0memhg19,TrueDI1230XA,0.981181053,coverage
LP0025_04_L004,healthy_control,0memhg19,TrueDI1230XA,0.988313437,coverage
LP0025_05_L003,lung_cancer,0memhg19,TrueDI1230XA,0.968564871,coverage
LP0025_06_L003,lung_cancer,0memhg19,TrueDI1230XA,0.983729294,coverage
LP0025_07_L004,healthy_control,0memhg19,TrueDI1230XA,0.976590518,coverage
LP0025_08_L004,healthy_control,0memhg19,TrueDI1230XA,0.993601729,coverage
LP0025_10_L003,lung_cancer,0memhg19,TrueDI1230XA,0.40262985,coverage
LP0025_11_L003,lung_cancer,0memhg19,TrueDI1230XA,0.991131403,coverage
LP0025_12_L003,lung_cancer,0memhg19,TrueDI1230XA,0.976936671,coverage
LP0025_15_L003,lung_cancer,0memhg19,TrueDI1230XA,0.97785543,coverage
LP0025_17_L003,lung_cancer,0memhg19,TrueDI1230XA,0.973855945,coverage
LP0025_21_L004,lung_cancer,0memhg19,TrueDI1230XA,0.952946854,coverage
LP0025_24_L003,lung_cancer,0memhg19,TrueDI1230XA,0.982393628,coverage
LP0026_05_L003,lung_cancer,0memhg19,TrueDI1230XA,0.925625994,coverage
LP0026_07_L003,lung_cancer,0memhg19,TrueDI1230XA,0.967509254,coverage
LP0026_08_L003,lung_cancer,0memhg19,TrueDI1230XA,0.800065377,coverage
LP0026_22_L003,lung_cancer,0memhg19,TrueDI1230XA,0.944095963,coverage
LP0026_26_L004,lung_cancer,0memhg19,TrueDI1230XA,0.601963934,coverage
LP0026_38_L004,lung_cancer,0memhg19,TrueDI1230XA,0.943180517,coverage
LP0026_42_L004,lung_cancer,0memhg19,TrueDI1230XA,0.929886079,coverage
LP0027_26_L003,lung_cancer,0memhg19,TrueDI1230XA,0.933267503,coverage
LP0027_35_L003,lung_cancer,0memhg19,TrueDI1230XA,0.939746816,coverage
LP0027_39_L003,lung_cancer,0memhg19,TrueDI1230XA,0.921232284,coverage
LP0028_01_L004,lung_cancer,0memhg19,TrueDI1230XA,0.969345177,coverage
LP0029_02_L004,healthy_control,0memhg19,TrueDI1230XA,0.991703219,coverage
LP0029_04_L003,healthy_control,0memhg19,TrueDI1230XA,0.97557775,coverage
LP0029_05_L004,healthy_control,0memhg19,TrueDI1230XA,0.993469749,coverage
LP0029_06_L003,healthy_control,0memhg19,TrueDI1230XA,0.969571613,coverage
LP0030_03_L004,healthy_control,0memhg19,TrueDI1230XA,0.98290616,coverage
LP0030_05_L004,healthy_control,0memhg19,TrueDI1230XA,0.990096454,coverage
LP0025_01_L004,healthy_control,0memhg19,TrueDI26830XA,0.974512563,coverage
LP0025_02_L004,healthy_control,0memhg19,TrueDI26830XA,0.968537089,coverage
LP0025_03_L003,healthy_control,0memhg19,TrueDI26830XA,0.98113445,coverage
LP0025_04_L004,healthy_control,0memhg19,TrueDI26830XA,0.988337746,coverage
LP0025_05_L003,lung_cancer,0memhg19,TrueDI26830XA,0.968622898,coverage
LP0025_06_L003,lung_cancer,0memhg19,TrueDI26830XA,0.983710842,coverage
LP0025_07_L004,healthy_control,0memhg19,TrueDI26830XA,0.976598942,coverage
LP0025_08_L004,healthy_control,0memhg19,TrueDI26830XA,0.993587009,coverage
LP0025_10_L003,lung_cancer,0memhg19,TrueDI26830XA,0.402411231,coverage
LP0025_11_L003,lung_cancer,0memhg19,TrueDI26830XA,0.991149244,coverage
LP0025_12_L003,lung_cancer,0memhg19,TrueDI26830XA,0.976929931,coverage
LP0025_15_L003,lung_cancer,0memhg19,TrueDI26830XA,0.977915689,coverage
LP0025_17_L003,lung_cancer,0memhg19,TrueDI26830XA,0.97392863,coverage
LP0025_21_L004,lung_cancer,0memhg19,TrueDI26830XA,0.952848314,coverage
LP0025_24_L003,lung_cancer,0memhg19,TrueDI26830XA,0.982480265,coverage
LP0026_05_L003,lung_cancer,0memhg19,TrueDI26830XA,0.925693845,coverage
LP0026_07_L003,lung_cancer,0memhg19,TrueDI26830XA,0.967537638,coverage
LP0026_08_L003,lung_cancer,0memhg19,TrueDI26830XA,0.799823248,coverage
LP0026_22_L003,lung_cancer,0memhg19,TrueDI26830XA,0.944021593,coverage
LP0026_26_L004,lung_cancer,0memhg19,TrueDI26830XA,0.601797675,coverage
LP0026_38_L004,lung_cancer,0memhg19,TrueDI26830XA,0.943114438,coverage
LP0026_42_L004,lung_cancer,0memhg19,TrueDI26830XA,0.929749925,coverage
LP0027_26_L003,lung_cancer,0memhg19,TrueDI26830XA,0.933189159,coverage
LP0027_35_L003,lung_cancer,0memhg19,TrueDI26830XA,0.939823996,coverage
LP0027_39_L003,lung_cancer,0memhg19,TrueDI26830XA,0.921236231,coverage
LP0028_01_L004,lung_cancer,0memhg19,TrueDI26830XA,0.969337158,coverage
LP0029_02_L004,healthy_control,0memhg19,TrueDI26830XA,0.991654524,coverage
LP0029_04_L003,healthy_control,0memhg19,TrueDI26830XA,0.975516967,coverage
LP0029_05_L004,healthy_control,0memhg19,TrueDI26830XA,0.993472013,coverage
LP0029_06_L003,healthy_control,0memhg19,TrueDI26830XA,0.969752021,coverage
LP0030_03_L004,healthy_control,0memhg19,TrueDI26830XA,0.982848932,coverage
LP0030_05_L004,healthy_control,0memhg19,TrueDI26830XA,0.990064611,coverage
LP0025_01_L004,healthy_control,0memhg19decoy,False40,0.971586336,coverage
LP0025_02_L004,healthy_control,0memhg19decoy,False40,0.912392719,coverage
LP0025_03_L003,healthy_control,0memhg19decoy,False40,0.979214451,coverage
LP0025_04_L004,healthy_control,0memhg19decoy,False40,0.974043988,coverage
LP0025_05_L003,lung_cancer,0memhg19decoy,False40,0.98173656,coverage
LP0025_06_L003,lung_cancer,0memhg19decoy,False40,0.987410028,coverage
LP0025_07_L004,healthy_control,0memhg19decoy,False40,0.982762424,coverage
LP0025_08_L004,healthy_control,0memhg19decoy,False40,0.983166284,coverage
LP0025_10_L003,lung_cancer,0memhg19decoy,False40,0.268307765,coverage
LP0025_11_L003,lung_cancer,0memhg19decoy,False40,0.97899865,coverage
LP0025_12_L003,lung_cancer,0memhg19decoy,False40,0.981718846,coverage
LP0025_15_L003,lung_cancer,0memhg19decoy,False40,0.974516189,coverage
LP0025_17_L003,lung_cancer,0memhg19decoy,False40,0.964663258,coverage
LP0025_21_L004,lung_cancer,0memhg19decoy,False40,0.914638395,coverage
LP0025_24_L003,lung_cancer,0memhg19decoy,False40,0.978432721,coverage
LP0026_05_L003,lung_cancer,0memhg19decoy,False40,0.854151236,coverage
LP0026_07_L003,lung_cancer,0memhg19decoy,False40,0.950395088,coverage
LP0026_08_L003,lung_cancer,0memhg19decoy,False40,0.75723816,coverage
LP0026_22_L003,lung_cancer,0memhg19decoy,False40,0.920961134,coverage
LP0026_26_L004,lung_cancer,0memhg19decoy,False40,0.541360901,coverage
LP0026_38_L004,lung_cancer,0memhg19decoy,False40,0.917805316,coverage
LP0026_42_L004,lung_cancer,0memhg19decoy,False40,0.908805462,coverage
LP0027_26_L003,lung_cancer,0memhg19decoy,False40,0.902939178,coverage
LP0027_35_L003,lung_cancer,0memhg19decoy,False40,0.928902966,coverage
LP0027_39_L003,lung_cancer,0memhg19decoy,False40,0.910476186,coverage
LP0028_01_L004,lung_cancer,0memhg19decoy,False40,0.958955856,coverage
LP0029_02_L004,healthy_control,0memhg19decoy,False40,0.987724157,coverage
LP0029_04_L003,healthy_control,0memhg19decoy,False40,0.973594733,coverage
LP0029_05_L004,healthy_control,0memhg19decoy,False40,0.964535295,coverage
LP0029_06_L003,healthy_control,0memhg19decoy,False40,0.978936455,coverage
LP0030_03_L004,healthy_control,0memhg19decoy,False40,0.962727264,coverage
LP0030_05_L004,healthy_control,0memhg19decoy,False40,0.98785616,coverage
LP0025_01_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.987267273,coverage
LP0025_02_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.917254837,coverage
LP0025_03_L003,healthy_control,0memhg19decoy,FalseDI1230XA,0.987065182,coverage
LP0025_04_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.990750009,coverage
LP0025_05_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.983993511,coverage
LP0025_06_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.99064619,coverage
LP0025_07_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.989045212,coverage
LP0025_08_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.98849268,coverage
LP0025_10_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.376431829,coverage
LP0025_11_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.989108967,coverage
LP0025_12_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.986159848,coverage
LP0025_15_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.974030751,coverage
LP0025_17_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.969538577,coverage
LP0025_21_L004,lung_cancer,0memhg19decoy,FalseDI1230XA,0.92124158,coverage
LP0025_24_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.983975341,coverage
LP0026_05_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.877146789,coverage
LP0026_07_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.96448927,coverage
LP0026_08_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.718513898,coverage
LP0026_22_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.918880675,coverage
LP0026_26_L004,lung_cancer,0memhg19decoy,FalseDI1230XA,0.611138211,coverage
LP0026_38_L004,lung_cancer,0memhg19decoy,FalseDI1230XA,0.923082188,coverage
LP0026_42_L004,lung_cancer,0memhg19decoy,FalseDI1230XA,0.898006913,coverage
LP0027_26_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.911007049,coverage
LP0027_35_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.920054366,coverage
LP0027_39_L003,lung_cancer,0memhg19decoy,FalseDI1230XA,0.901040477,coverage
LP0028_01_L004,lung_cancer,0memhg19decoy,FalseDI1230XA,0.957020221,coverage
LP0029_02_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.991993969,coverage
LP0029_04_L003,healthy_control,0memhg19decoy,FalseDI1230XA,0.973451902,coverage
LP0029_05_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.974522253,coverage
LP0029_06_L003,healthy_control,0memhg19decoy,FalseDI1230XA,0.984499585,coverage
LP0030_03_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.976676627,coverage
LP0030_05_L004,healthy_control,0memhg19decoy,FalseDI1230XA,0.993630052,coverage
LP0025_01_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.987259862,coverage
LP0025_02_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.917165929,coverage
LP0025_03_L003,healthy_control,0memhg19decoy,FalseDI26830XA,0.987068653,coverage
LP0025_04_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.990746173,coverage
LP0025_05_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.984001915,coverage
LP0025_06_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.99064117,coverage
LP0025_07_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.989045717,coverage
LP0025_08_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.98852691,coverage
LP0025_10_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.376387328,coverage
LP0025_11_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.989093025,coverage
LP0025_12_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.986160265,coverage
LP0025_15_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.974082029,coverage
LP0025_17_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.969538414,coverage
LP0025_21_L004,lung_cancer,0memhg19decoy,FalseDI26830XA,0.921253959,coverage
LP0025_24_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.983984796,coverage
LP0026_05_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.8771717,coverage
LP0026_07_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.964512166,coverage
LP0026_08_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.718452528,coverage
LP0026_22_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.918913644,coverage
LP0026_26_L004,lung_cancer,0memhg19decoy,FalseDI26830XA,0.611133246,coverage
LP0026_38_L004,lung_cancer,0memhg19decoy,FalseDI26830XA,0.923116822,coverage
LP0026_42_L004,lung_cancer,0memhg19decoy,FalseDI26830XA,0.89797986,coverage
LP0027_26_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.91098564,coverage
LP0027_35_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.92004046,coverage
LP0027_39_L003,lung_cancer,0memhg19decoy,FalseDI26830XA,0.901038119,coverage
LP0028_01_L004,lung_cancer,0memhg19decoy,FalseDI26830XA,0.957019063,coverage
LP0029_02_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.991995489,coverage
LP0029_04_L003,healthy_control,0memhg19decoy,FalseDI26830XA,0.973441606,coverage
LP0029_05_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.974523886,coverage
LP0029_06_L003,healthy_control,0memhg19decoy,FalseDI26830XA,0.984504314,coverage
LP0030_03_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.976688081,coverage
LP0030_05_L004,healthy_control,0memhg19decoy,FalseDI26830XA,0.99363253,coverage
LP0025_01_L004,healthy_control,0memhg19decoy,True40,0.975421428,coverage
LP0025_02_L004,healthy_control,0memhg19decoy,True40,0.954680461,coverage
LP0025_03_L003,healthy_control,0memhg19decoy,True40,0.979285767,coverage
LP0025_04_L004,healthy_control,0memhg19decoy,True40,0.975584223,coverage
LP0025_05_L003,lung_cancer,0memhg19decoy,True40,0.980352566,coverage
LP0025_06_L003,lung_cancer,0memhg19decoy,True40,0.986063493,coverage
LP0025_07_L004,healthy_control,0memhg19decoy,True40,0.978760083,coverage
LP0025_08_L004,healthy_control,0memhg19decoy,True40,0.986149715,coverage
LP0025_10_L003,lung_cancer,0memhg19decoy,True40,0.261553819,coverage
LP0025_11_L003,lung_cancer,0memhg19decoy,True40,0.978815396,coverage
LP0025_12_L003,lung_cancer,0memhg19decoy,True40,0.981155687,coverage
LP0025_15_L003,lung_cancer,0memhg19decoy,True40,0.972392347,coverage
LP0025_17_L003,lung_cancer,0memhg19decoy,True40,0.962989889,coverage
LP0025_21_L004,lung_cancer,0memhg19decoy,True40,0.928076752,coverage
LP0025_24_L003,lung_cancer,0memhg19decoy,True40,0.984932646,coverage
LP0026_05_L003,lung_cancer,0memhg19decoy,True40,0.898576667,coverage
LP0026_07_L003,lung_cancer,0memhg19decoy,True40,0.965476286,coverage
LP0026_08_L003,lung_cancer,0memhg19decoy,True40,0.739713131,coverage
LP0026_22_L003,lung_cancer,0memhg19decoy,True40,0.915145268,coverage
LP0026_26_L004,lung_cancer,0memhg19decoy,True40,0.530510309,coverage
LP0026_38_L004,lung_cancer,0memhg19decoy,True40,0.908857851,coverage
LP0026_42_L004,lung_cancer,0memhg19decoy,True40,0.902073509,coverage
LP0027_26_L003,lung_cancer,0memhg19decoy,True40,0.896211553,coverage
LP0027_35_L003,lung_cancer,0memhg19decoy,True40,0.9222278,coverage
LP0027_39_L003,lung_cancer,0memhg19decoy,True40,0.90524802,coverage
LP0028_01_L004,lung_cancer,0memhg19decoy,True40,0.956095011,coverage
LP0029_02_L004,healthy_control,0memhg19decoy,True40,0.988268156,coverage
LP0029_04_L003,healthy_control,0memhg19decoy,True40,0.976327646,coverage
LP0029_05_L004,healthy_control,0memhg19decoy,True40,0.983284767,coverage
LP0029_06_L003,healthy_control,0memhg19decoy,True40,0.978887161,coverage
LP0030_03_L004,healthy_control,0memhg19decoy,True40,0.976794425,coverage
LP0030_05_L004,healthy_control,0memhg19decoy,True40,0.987491682,coverage
LP0025_01_L004,healthy_control,0memhg19decoy,TrueDI1230XA,0.991368324,coverage
LP0025_02_L004,healthy_control,0memhg19decoy,TrueDI1230XA,0.963156552,coverage
LP0025_03_L003,healthy_control,0memhg19decoy,TrueDI1230XA,0.986955435,coverage
LP0025_04_L004,healthy_control,0memhg19decoy,TrueDI1230XA,0.992582361,coverage
LP0025_05_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.983180884,coverage
LP0025_06_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.990537947,coverage
LP0025_07_L004,healthy_control,0memhg19decoy,TrueDI1230XA,0.985187784,coverage
LP0025_08_L004,healthy_control,0memhg19decoy,TrueDI1230XA,0.992374852,coverage
LP0025_10_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.380600334,coverage
LP0025_11_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.989293324,coverage
LP0025_12_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.986372165,coverage
LP0025_15_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.973981624,coverage
LP0025_17_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.968998995,coverage
LP0025_21_L004,lung_cancer,0memhg19decoy,TrueDI1230XA,0.936822741,coverage
LP0025_24_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.989213734,coverage
LP0026_05_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.923080221,coverage
LP0026_07_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.980019188,coverage
LP0026_08_L003,lung_cancer,0memhg19decoy,TrueDI1230XA,0.717036207,coverage
