sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-7.115538874,150,-8.024916968,757,180.7619417,6078.999982,-733.1032721,0.011291024,-0.006519208,164.2347239,SAEC_hg19.no_chr,healthy_control,-0.31,(27.1386624680608; 346.8432267613184),N/A,1.44,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0026_26_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-14.54551735,150,-14.15399704,757,40.40249315,6078.000005,-778.7604229,0.043492797,0.001512473,9.250273006,SAEC_hg19.no_chr,lung_cancer,-2.44,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,2.7,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0026_38_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-6.74903672,149.1370214,-107.1951475,757.0346326,191.2591358,6078.004678,-629.528334,0.061989748,-0.005364684,75.05407634,SAEC_hg19.no_chr,lung_cancer,-1.54,(27.1386624680608; 346.8432267613184),n.s.,3.43,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0026_42_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-27.05874356,150,13.89872368,757.9999999,111.8828672,6078.001993,-635.7753584,0.05730716,-0.003174556,94.49119514,SAEC_hg19.no_chr,lung_cancer,-1.27,(27.1386624680608; 346.8432267613184),n.s.,3.24,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0027_26_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,3.270956307,149,-46.82760233,758,-52.12416795,6078.867463,-617.6286501,0.019308713,-2.02E-04,-95.54028427,SAEC_hg19.no_chr,lung_cancer,-3.88,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,1.75,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0027_35_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-14.68281689,149,-32.00339904,758,-239.3470691,6078.07027,-617.863287,0.071866276,0.005737637,-288.375028,SAEC_hg19.no_chr,lung_cancer,-6.52,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,3.81,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0027_39_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-6.432828222,149,-62.99354989,757,-89.03045123,6078.000018,-585.1691563,0.056265249,0.00306698,-159.9532278,SAEC_hg19.no_chr,lung_cancer,-4.76,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,3.2,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0028_01_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,8.734551223,149,19.56971541,757,157.3695226,6078.946444,-661.98172,-0.044027452,-0.007230547,187.0557196,SAEC_hg19.no_chr,lung_cancer,0,(27.1386624680608; 346.8432267613184),n.s.,-0.73,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0029_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-0.234623157,150,56.25829322,757,196.7737525,6078.001103,-662.3301464,-0.041940015,-0.009443423,253.0650493,SAEC_hg19.no_chr,healthy_control,0.91,(27.1386624680608; 346.8432267613184),N/A,-0.65,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0029_04_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,26.87865535,149.9984725,-39.61555143,757,316.8744425,6078.010978,-563.4048193,-0.071408726,-0.009949212,307.6331865,SAEC_hg19.no_chr,healthy_control,1.66,(27.1386624680608; 346.8432267613184),N/A,-1.81,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0029_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,8.15038711,149,30.10979003,758,169.0007321,6078.030986,-677.3633078,-0.048762095,-0.005292216,208.6348771,SAEC_hg19.no_chr,healthy_control,0.3,(27.1386624680608; 346.8432267613184),N/A,-0.92,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0029_06_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-7.663613626,150,23.69840317,758,283.0851015,6078.985101,-596.9254505,-0.010668295,-0.009801617,297.8273568,SAEC_hg19.no_chr,healthy_control,1.52,(27.1386624680608; 346.8432267613184),N/A,0.58,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0030_03_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-1.623912646,149,35.5714315,757,72.72092579,6078.999791,-738.9931381,-0.019170736,-0.003118068,106.6619582,SAEC_hg19.no_chr,healthy_control,-1.1,(27.1386624680608; 346.8432267613184),N/A,0.24,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0030_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-2.899490918,149,4.612097756,758,92.44549853,6078.051,-719.1378412,-7.32E-04,-0.002831007,93.64325411,SAEC_hg19.no_chr,healthy_control,-1.28,(27.1386624680608; 346.8432267613184),N/A,0.96,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-4.803652872,150,-5.748975308,757,173.2743966,6078.996242,-725.6184049,0.004434239,-0.006624833,161.7262709,SAEC_hg19.no_chr,healthy_control,-0.12,(2.80070518926712; 339.17786641259283),N/A,1.62,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,7.731650031,149,44.26783342,758,62.65774194,6078.076461,-707.7769213,-0.048112408,-0.004609943,116.212175,SAEC_hg19.no_chr,healthy_control,-0.71,(2.80070518926712; 339.17786641259283),N/A,-0.56,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,7.326586592,150,18.41596558,757,46.81097966,6078.999329,-607.7076665,-0.032263228,-0.006129953,73.81959746,SAEC_hg19.no_chr,healthy_control,-1.27,(2.80070518926712; 339.17786641259283),N/A,0.1,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-1.576831131,150,-2.01610724,757,142.9408026,6078.000002,-740.4626442,-0.004125958,-0.004832959,138.9257373,SAEC_hg19.no_chr,healthy_control,-0.42,(2.80070518926712; 339.17786641259283),N/A,1.27,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
LP0025_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,6.042536228,150,26.59148569,757,-135.3137927,6078.081479,-589.6849521,-0.021203165,-6.09E-04,-101.3395861,SAEC_hg19.no_chr,lung_cancer,-3.55,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,0.56,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0025_06_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-6.998200325,150,88.47930154,757.9999999,113.0983256,6078.045339,-611.617968,-0.035378332,-0.006473226,194.1742903,SAEC_hg19.no_chr,lung_cancer,0.3,(2.80070518926712; 339.17786641259283),n.s.,-0.03,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0025_07_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,6.858223698,150,0.592083581,757.0000014,131.0407272,6078.000001,-708.6248787,-0.027153401,-0.005246131,139.4268684,SAEC_hg19.no_chr,healthy_control,-0.41,(2.80070518926712; 339.17786641259283),N/A,0.31,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
LP0025_08_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,14.89451875,150,17.98961874,757.0000001,169.7084317,6078.08492,-676.9749434,-0.060233312,-0.005600359,204.9051769,SAEC_hg19.no_chr,healthy_control,0.44,(2.80070518926712; 339.17786641259283),N/A,-1.06,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
LP0025_10_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-39.99883823,150,-75.40268834,757,-32.30738333,6078.109967,-679.6761205,0.148239594,-4.87E-06,-154.6336609,SAEC_hg19.no_chr,lung_cancer,-4.25,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,7.6,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0025_11_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-7.230205968,150,-2.230769138,757.0000001,84.10090126,6078.013674,-661.1013805,0.014885065,-0.003539145,73.39502294,SAEC_hg19.no_chr,lung_cancer,-1.27,(2.80070518926712; 339.17786641259283),n.s.,2.06,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0025_12_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-2.381893797,150,12.23623072,758,100.1772961,6078.000001,-682.7590299,-0.006680466,-0.004758553,109.6615751,SAEC_hg19.no_chr,lung_cancer,-0.8,(2.80070518926712; 339.17786641259283),n.s.,1.16,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0025_15_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-14.06554147,150,2.730796118,757.9999999,-25.51837781,6078.001175,-711.5666877,0.037646639,-9.32E-04,-39.00251046,SAEC_hg19.no_chr,lung_cancer,-2.74,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,3,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0025_17_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-9.73011797,149,17.89474021,758,40.65705329,6078.132755,-693.3324045,0.013965334,-0.003302511,47.41151526,SAEC_hg19.no_chr,lung_cancer,-1.61,(2.80070518926712; 339.17786641259283),n.s.,2.02,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0025_21_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-2.644283605,150,-41.32058541,757,-175.0570493,6078.999974,-701.192828,0.040297253,0.006127075,-219.625715,SAEC_hg19.no_chr,lung_cancer,-5.09,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,3.11,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0025_24_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,1.777637477,149,9.373200439,758,50.37924788,6078.030844,-639.5130721,-0.012999494,-0.003118162,61.84077883,SAEC_hg19.no_chr,lung_cancer,-1.42,(2.80070518926712; 339.17786641259283),n.s.,0.9,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0026_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,1.426821278,149,15.8610499,758,159.8463956,6078.017636,-736.1797145,-0.022659903,-0.006244197,177.3295968,SAEC_hg19.no_chr,lung_cancer,0.08,(2.80070518926712; 339.17786641259283),n.s.,0.5,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0026_07_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,3.637211505,149,-1.954854761,757.013319,59.25558804,6078.999999,-746.288771,-0.012597033,-0.002755217,61.42690698,SAEC_hg19.no_chr,lung_cancer,-1.43,(2.80070518926712; 339.17786641259283),n.s.,0.92,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0026_08_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-22.43029817,149,-82.35707751,757.0000002,-178.7884005,6078.930307,-676.0394513,0.115192236,0.00252718,-287.6685454,SAEC_hg19.no_chr,lung_cancer,-5.98,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,6.22,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0026_22_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-12.06222099,150,-5.214299943,757.0245447,-114.9837751,6078.999998,-664.712264,0.042374698,0.002058536,-134.0710675,SAEC_hg19.no_chr,lung_cancer,-3.98,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,3.2,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0026_26_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-9.975000788,149.0000002,-20.92575186,757,29.81580459,6078.092941,-778.1981213,0.035778686,0.001567669,-2.879881017,SAEC_hg19.no_chr,lung_cancer,-2.27,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,2.93,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0026_38_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,1.411456207,149.9983168,-114.2373707,757,165.3885304,6078.048829,-620.4070627,0.045594083,-0.003756457,51.54669932,SAEC_hg19.no_chr,lung_cancer,-1.56,(2.80070518926712; 339.17786641259283),n.s.,3.33,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0026_42_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-21.62349348,149.0540524,13.85917115,758,49.42237887,6078.050434,-632.5881527,0.047337031,-0.002035629,38.33139004,SAEC_hg19.no_chr,lung_cancer,-1.73,(2.80070518926712; 339.17786641259283),n.s.,3.41,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0027_26_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,7.518547843,149,-58.13446791,758,-52.57305339,6078.934281,-615.2641172,0.013916263,-5.60E-04,-102.4839768,SAEC_hg19.no_chr,lung_cancer,-3.57,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,2.02,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0027_35_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-10.94387684,149,-37.20680119,758,-310.0946248,6078.02132,-615.4424238,0.069237767,0.007019766,-359.9694096,SAEC_hg19.no_chr,lung_cancer,-6.92,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,4.32,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0027_39_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-1.491602632,149,-68.27928625,757,-137.4832272,6078.000021,-585.6702489,0.049001196,0.004414269,-207.9691261,SAEC_hg19.no_chr,lung_cancer,-4.94,(2.80070518926712; 339.17786641259283),Significantly stronger coverage drop,3.47,(-0.08744747712006905; 0.018149864748418662),Significantly stronger coverage drop,0memhg19,FalseDI1230XA
LP0028_01_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,11.03024984,149,19.87644476,757,135.7118896,6078.948204,-654.7907077,-0.048914428,-0.007245162,168.3881863,SAEC_hg19.no_chr,lung_cancer,-0.03,(2.80070518926712; 339.17786641259283),n.s.,-0.59,(-0.08744747712006905; 0.018149864748418662),n.s.,0memhg19,FalseDI1230XA
LP0029_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,3.35239187,150,60.26951999,757.0000001,157.6999688,6078.041812,-654.4861337,-0.05102927,-0.008405559,222.2310477,SAEC_hg19.no_chr,healthy_control,0.67,(2.80070518926712; 339.17786641259283),N/A,-0.68,(-0.08744747712006905; 0.018149864748418662),N/A,0memhg19,FalseDI1230XA
