sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_12_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-34.8586362,149,-144.8327323,757,-130.6765305,6078.026782,-768.3935188,0.178237454,0.007681593,-317.0458354,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.67,(-601.565037508039;-165.36525126836523),n.s.,0.63,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0025_15_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-31.74243968,149,-116.8150829,758,-60.28083193,6078.12844,-810.0478883,0.150426691,0.004917296,-214.8402543,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.7,(-601.565037508039;-165.36525126836523),n.s.,-0.07,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0025_17_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-40.81749244,150,-177.282648,758,-249.692501,6078.047783,-794.2708158,0.218253263,0.010961045,-475.5427597,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-0.93,(-601.565037508039;-165.36525126836523),n.s.,1.65,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0025_21_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-39.99625484,149,-116.3830695,758,-140.1187042,6078.028279,-782.6032591,0.177538988,0.00697934,-303.7066686,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.8,(-601.565037508039;-165.36525126836523),n.s.,0.62,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0025_24_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-27.25212525,149.0000001,-82.97028413,757.9988781,-178.5154891,6078.022599,-762.5473045,0.12835189,0.00710066,-293.5924535,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.9,(-601.565037508039;-165.36525126836523),n.s.,-0.63,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0026_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-19.93984434,150,-92.7941674,757.0000634,34.46680729,6078.989311,-813.7167075,0.099673309,0.003217189,-82.28492823,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,3.03,(-601.565037508039;-165.36525126836523),Significantly weaker coverage drop,-1.35,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0026_07_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-21.84256677,149,-180.8597933,758,-159.4738929,6078.018489,-832.1519865,0.164138238,0.009097252,-367.1020772,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.16,(-601.565037508039;-165.36525126836523),n.s.,0.28,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0026_08_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-25.27061653,149,-86.55666384,758,-88.43272327,6078.087989,-763.4166384,0.119021137,0.005753642,-204.934593,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.8,(-601.565037508039;-165.36525126836523),n.s.,-0.86,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0026_22_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-12.94820435,149,-163.8427561,758,-93.65811277,6078.012121,-763.8644131,0.127047734,0.007271156,-273.8914163,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.1,(-601.565037508039;-165.36525126836523),n.s.,-0.66,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0026_26_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-6.91480068,149,-58.76642163,758,-34.13756021,6078.011649,-895.6586798,0.051684126,0.004577513,-101.4099918,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,2.84,(-601.565037508039;-165.36525126836523),Significantly weaker coverage drop,-2.56,(0.06633537865348424;0.23991380130004938),Significantly weaker coverage drop,0memhg19,False40
LP0026_38_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-18.51800301,149,-92.54971233,758,-63.60479175,6078.027383,-745.8955929,0.102465878,0.004998876,-178.3674255,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,2.06,(-601.565037508039;-165.36525126836523),n.s.,-1.28,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0026_42_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-21.61556491,149,-79.68162598,758,-55.37097742,6078.033051,-720.0201957,0.103446456,0.004982119,-160.7408219,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,2.24,(-601.565037508039;-165.36525126836523),Significantly weaker coverage drop,-1.26,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0027_26_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-16.35193546,150,-60.72597863,758,-138.2123932,6078.000013,-738.1715928,0.084522354,0.005658265,-218.258487,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.66,(-601.565037508039;-165.36525126836523),n.s.,-1.73,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0027_35_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-24.60703994,150,-93.66129578,758,-253.0680361,6078.022056,-744.8842072,0.131350645,0.009103026,-375.774588,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.08,(-601.565037508039;-165.36525126836523),n.s.,-0.55,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0027_39_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-25.54815403,150,-83.41380785,757,-330.1922431,6078.016925,-702.6584747,0.133580504,0.011113856,-443.5638813,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-0.6,(-601.565037508039;-165.36525126836523),n.s.,-0.49,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0028_01_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-25.24182932,149,-98.28846071,758,-153.5744814,6078.025332,-769.0326464,0.12939437,0.006460121,-281.8114926,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.02,(-601.565037508039;-165.36525126836523),n.s.,-0.6,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0029_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-36.05697524,149,-128.2196883,758,-282.2396849,6078.020455,-746.7767074,0.182549814,0.011188501,-453.0587012,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.7,(-601.565037508039;-165.36525126836523),N/A,0.74,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0029_04_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-33.8166716,149,-98.07264802,758,-219.6742966,6078.021225,-706.9527647,0.156578219,0.008576837,-357.544599,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,0.26,(-601.565037508039;-165.36525126836523),N/A,0.09,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0029_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-37.85477524,149,-146.1890635,758,-116.3346629,6078.025648,-742.6584393,0.185931312,0.007438209,-307.5507963,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,0.76,(-601.565037508039;-165.36525126836523),N/A,0.83,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0029_06_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-30.42372613,149,-114.6626491,757.0000002,-331.8822358,6078.011634,-704.7000389,0.163669927,0.011522621,-482.4497893,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1,(-601.565037508039;-165.36525126836523),N/A,0.27,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0030_03_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-27.99435778,149.2439372,-123.9860124,758,-160.8804043,6078.026786,-828.3353944,0.150646049,0.007909719,-318.2241074,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,0.66,(-601.565037508039;-165.36525126836523),N/A,-0.06,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0030_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-22.25786997,149,-191.651694,758,-335.6618281,6078.049979,-793.1779916,0.182494389,0.013454719,-554.4688597,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.72,(-601.565037508039;-165.36525126836523),N/A,0.74,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-30.62490248,149,-138.4490408,758,-313.7936297,6078.01695,-842.6868709,0.175460545,0.01241272,-488.6151779,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.15,(-584.5656108239742;-179.77708518582676),N/A,0.7,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,19.27142492,150,-116.0626486,757.9999999,-362.2016493,6078.064993,-778.606372,0.033603863,0.012428689,-456.6469398,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.81,(-584.5656108239742;-179.77708518582676),N/A,-2.83,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-28.74072612,149,-134.875785,757.9999999,-264.849134,6078.018201,-709.3943789,0.165322522,0.010352496,-433.9376243,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.56,(-584.5656108239742;-179.77708518582676),N/A,0.44,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-21.53890139,150,-104.2746897,758,-164.6113743,6078.031592,-818.2717552,0.122970468,0.007069822,-294.577364,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,0.95,(-584.5656108239742;-179.77708518582676),N/A,-0.61,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
LP0025_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-8.03899789,149,-77.25696691,758,-335.7847378,6078.010294,-677.8837837,0.084225081,0.010847357,-422.6885187,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-0.44,(-584.5656108239742;-179.77708518582676),n.s.,-1.57,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_06_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-20.56370157,149,-111.1447518,757.9999879,-72.48085245,6078.021716,-754.86389,0.118312505,0.005138755,-208.3674481,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.88,(-584.5656108239742;-179.77708518582676),n.s.,-0.72,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_07_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-25.76162111,149,-110.2346681,758,-113.1064697,6078.020922,-803.8484829,0.134417306,0.006306806,-254.045551,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,1.39,(-584.5656108239742;-179.77708518582676),N/A,-0.32,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
LP0025_08_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-33.86524829,149.0000104,-105.7158797,758,-111.6158422,6078.04668,-772.0726218,0.153638328,0.005785951,-257.3743317,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,1.35,(-584.5656108239742;-179.77708518582676),N/A,0.15,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
LP0025_10_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-13.62412121,149.0014536,6.622213753,757.0000051,-20.2115144,6078.005091,-825.9857992,0.034314442,0.002714157,-29.27288017,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,3.82,(-584.5656108239742;-179.77708518582676),Significantly weaker coverage drop,-2.81,(0.0590801942976988;0.2357680979992215),Significantly weaker coverage drop,0memhg19,FalseDI1230XA
LP0025_11_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-35.43634594,149,-90.19338369,758,-134.0418625,6078.014727,-787.8291295,0.151147276,0.006845803,-265.9285883,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.26,(-584.5656108239742;-179.77708518582676),n.s.,0.09,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_12_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-32.47922586,149,-137.3322539,757.0000056,-155.6038007,6078.034866,-768.3359948,0.169550013,0.008137997,-331.6223538,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.55,(-584.5656108239742;-179.77708518582676),n.s.,0.55,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_15_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-28.9186846,149,-104.5903538,758,-115.8030669,6078.043128,-818.608254,0.140076548,0.006411491,-254.6965185,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.38,(-584.5656108239742;-179.77708518582676),n.s.,-0.18,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_17_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-37.33844049,149.9999989,-173.663391,758,-314.223018,6078.026556,-801.3283832,0.211331111,0.012860872,-532.3261902,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-1.63,(-584.5656108239742;-179.77708518582676),n.s.,1.59,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_21_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-37.92881641,149,-108.1169757,758,-181.0869622,6078.010104,-778.4372071,0.170342034,0.008374255,-333.8952491,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.52,(-584.5656108239742;-179.77708518582676),n.s.,0.57,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0025_24_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-24.21812237,149,-86.17750157,758,-183.7323249,6078.034433,-764.5105604,0.12225877,0.00843883,-298.5291181,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.91,(-584.5656108239742;-179.77708518582676),n.s.,-0.62,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0026_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-17.46127187,149.9999859,-90.9327445,757.9999996,11.90069337,6078.995313,-814.8858062,0.093518003,0.004081016,-100.077778,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,3.06,(-584.5656108239742;-179.77708518582676),Significantly weaker coverage drop,-1.34,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0026_07_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-21.93257427,149,-178.6633539,758,-161.379113,6078.080074,-820.7864697,0.163348169,0.009389835,-366.892692,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,0.17,(-584.5656108239742;-179.77708518582676),n.s.,0.4,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0026_08_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-19.25808934,149,-91.69846214,758,-88.5151782,6078.08676,-769.4389514,0.105634394,0.005827721,-203.247912,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.94,(-584.5656108239742;-179.77708518582676),n.s.,-1.04,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0026_22_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-10.64401264,149,-159.1805847,758,-89.40130121,6078.017403,-759.7972999,0.118145189,0.006944556,-262.2675756,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.3,(-584.5656108239742;-179.77708518582676),n.s.,-0.73,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0026_26_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-3.488728163,149,-59.3797572,758,-37.26705364,6078.023581,-885.6827229,0.043039147,0.004764696,-101.1901102,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,3.04,(-584.5656108239742;-179.77708518582676),Significantly weaker coverage drop,-2.59,(0.0590801942976988;0.2357680979992215),Significantly weaker coverage drop,0memhg19,FalseDI1230XA
LP0026_38_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-17.08074613,149.0000091,-84.99805969,758,-64.04798737,6078.013996,-742.6469633,0.094672266,0.005066776,-169.5256496,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,2.3,(-584.5656108239742;-179.77708518582676),Significantly weaker coverage drop,-1.31,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0026_42_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-19.50163215,149,-78.08229477,758,-45.41786674,6078.020614,-716.0129316,0.096291449,0.005001362,-146.7381466,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,2.55,(-584.5656108239742;-179.77708518582676),Significantly weaker coverage drop,-1.27,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0027_26_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-14.60691578,150,-55.18555009,758,-171.4129003,6078.023826,-741.3351637,0.079144436,0.006321083,-243.8129118,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.5,(-584.5656108239742;-179.77708518582676),n.s.,-1.7,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0027_35_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-22.21993823,150,-91.66474328,758,-277.3106653,6078.020853,-739.140995,0.125542283,0.009952683,-395.2148354,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-0.14,(-584.5656108239742;-179.77708518582676),n.s.,-0.54,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0027_39_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-22.874975,150,-81.947299,757,-341.342115,6078.026045,-703.1697133,0.126429829,0.011494151,-450.1297059,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-0.74,(-584.5656108239742;-179.77708518582676),n.s.,-0.52,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0028_01_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-22.34272423,149,-97.97562282,758,-162.3780669,6078.016947,-766.8487073,0.122045322,0.006912344,-286.9346396,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.03,(-584.5656108239742;-179.77708518582676),n.s.,-0.63,(0.0590801942976988;0.2357680979992215),n.s.,0memhg19,FalseDI1230XA
LP0029_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-34.40131462,149,-126.0514511,758,-286.5211899,6078.01603,-743.1294863,0.177256716,0.011042499,-453.2312549,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.77,(-584.5656108239742;-179.77708518582676),N/A,0.74,(0.0590801942976988;0.2357680979992215),N/A,0memhg19,FalseDI1230XA
