sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-27.970022426903768,149.0000000001148,-128.90938513098894,757.9999999937122,-410.6977287856488,6078.000019765477,-854.3386934329582,0.16969194998287113,0.01087990790687726,-572.7132098527662,hematopoietic_specific_liquorice_hg38,healthy_control,-1.01,"(-681.4822088165606, -277.4285656407602)",N/A,0.68,"(0.05736331293548649, 0.2286327336088376)",N/A,0memhg38noalt,TrueDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-28.054902363787264,149.00000000010402,-127.954542029317,757.9999999946333,-408.9336304604086,6078.0034269978505,-853.2261397803958,0.16930086508892175,0.01097724777929057,-570.0856369992459,hematopoietic_specific_liquorice_hg38,healthy_control,-0.98,"(-676.9642862071934, -290.7781101057302)",N/A,0.69,"(0.057864530205383194, 0.22722235913474015)",N/A,30memhg38noalt,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/False40/summary_across_samples_and_ROIS.csv,-30.38165352326931,149.00000000018733,-126.58824069246822,757.9999999983379,-379.90706910688095,6078.000000110996,-854.0361750391397,0.17290635907887525,0.01001547671825764,-542.4046997717987,hematopoietic_specific_liquorice_hg38,healthy_control,-0.71,"(-676.4586241629164, -280.6251143385373)",N/A,0.69,"(0.06284081006821898, 0.2302263812186002)",N/A,0memhg38,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-27.955383653424143,149.0000000000614,-125.91054817406668,757.9999999935327,-404.77697956380587,6078.0034272935645,-853.0755747447066,0.16768580428060972,0.010664667817671,-563.7555562767366,hematopoietic_specific_liquorice_hg38,healthy_control,-0.96,"(-675.1293825175285, -277.7828758727986)",N/A,0.68,"(0.055573729837936986, 0.2267132632413628)",N/A,0memhg38,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-28.054902363787264,149.00000000010402,-127.954542029317,757.9999999946333,-408.9336304604086,6078.0034269978505,-853.2261397803958,0.16930086508892175,0.01097724777929057,-570.0856369992459,hematopoietic_specific_liquorice_hg38,healthy_control,-0.98,"(-676.9642862071934, -290.7781101057302)",N/A,0.69,"(0.057864530205383194, 0.22722235913474015)",N/A,30memhg38,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/False40/summary_across_samples_and_ROIS.csv,-31.09490459317443,149.00000000024428,-124.56182219476467,757.9999999973463,-384.9021784428126,6078.000028150189,-860.0681630254683,0.17407740580451556,0.01015285226159176,-546.1746940987517,hematopoietic_specific_liquorice_hg38,healthy_control,-0.76,"(-676.7752043822488, -277.24682790754423)",N/A,0.69,"(0.06471423357887114, 0.2309442777492191)",N/A,30memhg38,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-28.17912664373641,149.00000000012662,-125.47039867138884,757.9999999940994,-410.7393269029313,6078.0015123709445,-856.9859968412317,0.1684445731065215,0.01089265944790984,-569.5261055253306,hematopoietic_specific_liquorice_hg38,healthy_control,-1,"(-677.0049045169608, -280.73400851054373)",N/A,0.68,"(0.05810908254921153, 0.22674770204183847)",N/A,0memhg38noalt,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/True40/summary_across_samples_and_ROIS.csv,-31.01882787196972,149.00000000022845,-128.151903334441,757.9999999977672,-384.4276567033209,6078.0000000250975,-856.7651432705101,0.17573205930801844,0.010211166551738,-549.2357837003036,hematopoietic_specific_liquorice_hg38,healthy_control,-0.79,"(-681.4881485018702, -269.37044730366483)",N/A,0.74,"(0.0641189442851832, 0.23128416528139153)",N/A,0memhg38noalt,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-27.69536443976909,149.0000000002194,-126.1508999626706,757.9999999948102,-408.2631764629661,6078.002515338776,-855.0662498526647,0.16734493899431316,0.01083501218208575,-567.1795843659401,hematopoietic_specific_liquorice_hg38,healthy_control,-1.02,"(-669.3603194170521, -288.5828089541338)",N/A,0.64,"(0.05742537813949114, 0.22735744738612143)",N/A,30memhg38,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/True40/summary_across_samples_and_ROIS.csv,-31.01882787196972,149.00000000022845,-128.151903334441,757.9999999977672,-384.4276567033209,6078.0000000250975,-856.7651432705101,0.17573205930801844,0.010211166551738,-549.2357837003036,hematopoietic_specific_liquorice_hg38,healthy_control,-0.79,"(-681.4881485018702, -269.37044730366483)",N/A,0.74,"(0.0641189442851832, 0.23128416528139153)",N/A,30memhg38,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/False40/summary_across_samples_and_ROIS.csv,-31.09490459317443,149.00000000024428,-124.56182219476467,757.9999999973463,-384.9021784428126,6078.000028150189,-860.0681630254683,0.17407740580451556,0.01015285226159176,-546.1746940987517,hematopoietic_specific_liquorice_hg38,healthy_control,-0.76,"(-676.7752043822488, -277.24682790754423)",N/A,0.69,"(0.06471423357887114, 0.2309442777492191)",N/A,30memhg38noalt,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-28.17912664373641,149.00000000012662,-125.47039867138884,757.9999999940994,-410.7393269029313,6078.0015123709445,-856.9859968412317,0.1684445731065215,0.01089265944790984,-569.5261055253306,hematopoietic_specific_liquorice_hg38,healthy_control,-1,"(-677.0049045169608, -280.73400851054373)",N/A,0.68,"(0.05810908254921153, 0.22674770204183847)",N/A,30memhg38,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/True40/summary_across_samples_and_ROIS.csv,-31.01882787196972,149.00000000022845,-128.151903334441,757.9999999977672,-384.4276567033209,6078.0000000250975,-856.7651432705101,0.17573205930801844,0.010211166551738,-549.2357837003036,hematopoietic_specific_liquorice_hg38,healthy_control,-0.79,"(-681.4881485018702, -269.37044730366483)",N/A,0.74,"(0.0641189442851832, 0.23128416528139153)",N/A,30memhg38noalt,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-27.557387541269172,149.0000000001123,-125.941888871301,757.9999999959206,-409.34982650684265,6078.001548047762,-852.7819582739044,0.1669368350290517,0.01079333550817266,-567.8944314776986,hematopoietic_specific_liquorice_hg38,healthy_control,-0.99,"(-675.5938390460229, -281.6501680438864)",N/A,0.68,"(0.05519782686216773, 0.22566692581832726)",N/A,0memhg38,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/TrueDI1230XA/summary_across_samples_and_ROIS.csv,17.183579647658902,149.99999999959925,-91.92458553437989,757.9999999467279,-496.94930903759627,6078.024796881663,-788.4700517749683,0.03529721316235749,0.0117836524704153,-569.3014971395072,hematopoietic_specific_liquorice_hg38,healthy_control,-0.97,"(-676.9642862071934, -290.7781101057302)",N/A,-2.78,"(0.057864530205383194, 0.22722235913474015)",N/A,0memhg38noalt,TrueDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,16.266074077155814,149.9999999995259,-89.6734567149282,757.9999999450947,-485.4066558561525,6078.037762649471,-794.6950672628208,0.03579494428918062,0.01162308850913293,-556.5607965837859,hematopoietic_specific_liquorice_hg38,healthy_control,-0.89,"(-669.3603194170521, -288.5828089541338)",N/A,-2.75,"(0.05742537813949114, 0.22735744738612143)",N/A,30memhg38,FalseDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,15.700722179285664,149.99999999958314,-87.92966541652706,757.999999944523,-486.91005636106513,6078.012221670974,-794.5647016957889,0.03647960216786352,0.01150976370663904,-556.9566093834247,hematopoietic_specific_liquorice_hg38,healthy_control,-0.86,"(-677.0049045169608, -280.73400851054373)",N/A,-2.76,"(0.05810908254921153, 0.22674770204183847)",N/A,30memhg38,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,17.439727439563516,149.999999999558,-90.3496527693218,757.9999999442249,-474.9329197953772,6078.037838673376,-795.2125302056436,0.03234190415876908,0.01138504283251147,-545.4235238168495,hematopoietic_specific_liquorice_hg38,healthy_control,-0.76,"(-675.1293825175285, -277.7828758727986)",N/A,-2.79,"(0.055573729837936986, 0.2267132632413628)",N/A,0memhg38,FalseDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/FalseDI26830XA/summary_across_samples_and_ROIS.csv,16.266074077155814,149.9999999995259,-89.6734567149282,757.9999999450947,-485.4066558561525,6078.037762649471,-794.6950672628208,0.03579494428918062,0.01162308850913293,-556.5607965837859,hematopoietic_specific_liquorice_hg38,healthy_control,-0.89,"(-669.3603194170521, -288.5828089541338)",N/A,-2.75,"(0.05742537813949114, 0.22735744738612143)",N/A,30memhg38noalt,FalseDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/FalseDI1230XA/summary_across_samples_and_ROIS.csv,15.700722179285664,149.99999999958314,-87.92966541652706,757.999999944523,-486.91005636106513,6078.012221670974,-794.5647016957889,0.03647960216786352,0.01150976370663904,-556.9566093834247,hematopoietic_specific_liquorice_hg38,healthy_control,-0.86,"(-677.0049045169608, -280.73400851054373)",N/A,-2.76,"(0.05810908254921153, 0.22674770204183847)",N/A,0memhg38noalt,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/TrueDI26830XA/summary_across_samples_and_ROIS.csv,17.013090786594155,149.9999999995589,-90.52430320698804,757.9999999405852,-503.859323491592,6078.031985963194,-789.0734386240787,0.03546717896540727,0.01216336249645049,-574.9879450861031,hematopoietic_specific_liquorice_hg38,healthy_control,-1.04,"(-681.4822088165606, -277.4285656407602)",N/A,-2.75,"(0.05736331293548649, 0.2286327336088376)",N/A,0memhg38noalt,TrueDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/True40/summary_across_samples_and_ROIS.csv,15.064094489187267,149.99999999952792,-93.77791995751411,757.9999999631633,-480.9617707328038,6078.028239514402,-798.0962338846671,0.04086026589887254,0.01147916486287232,-557.6532361867921,hematopoietic_specific_liquorice_hg38,healthy_control,-0.86,"(-681.6857189742025, -272.7923878640041)",N/A,-2.76,"(0.0626941903344038, 0.23046541082986235)",N/A,0memhg38,True40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,17.561814572941795,149.9999999995677,-89.77838439968599,757.9999999433702,-478.7948424290977,6078.0332712268955,-795.509028585685,0.03197004304771248,0.01148043865535112,-548.5634880303015,hematopoietic_specific_liquorice_hg38,healthy_control,-0.78,"(-675.5938390460229, -281.6501680438864)",N/A,-2.79,"(0.05519782686216773, 0.22566692581832726)",N/A,0memhg38,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/False40/summary_across_samples_and_ROIS.csv,13.279730691433336,149.99999999938527,-88.55225660826649,757.9999999638072,-481.0788163538835,6078.0156203782435,-800.6866915563527,0.04286342108444432,0.01144241142087606,-554.5601645784482,hematopoietic_specific_liquorice_hg38,healthy_control,-0.85,"(-676.7752043822488, -277.24682790754423)",N/A,-2.77,"(0.06471423357887114, 0.2309442777492191)",N/A,30memhg38noalt,False40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/TrueDI26830XA/summary_across_samples_and_ROIS.csv,17.315502841705015,149.9999999999271,-87.37448491310906,757.999999945062,-482.0381397017807,6078.017540626242,-789.2033329196574,0.03157290467437,0.01128472804158457,-549.6620979730427,hematopoietic_specific_liquorice_hg38,healthy_control,-0.77,"(-681.1866593795176, -277.13502072213475)",N/A,-2.79,"(0.05522061965271734, 0.22927973121503842)",N/A,0memhg38,TrueDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/TrueDI1230XA/summary_across_samples_and_ROIS.csv,17.183579647658902,149.99999999959925,-91.92458553437989,757.9999999467279,-496.94930903759627,6078.024796881663,-788.4700517749683,0.03529721316235749,0.0117836524704153,-569.3014971395072,hematopoietic_specific_liquorice_hg38,healthy_control,-0.97,"(-676.9642862071934, -290.7781101057302)",N/A,-2.78,"(0.057864530205383194, 0.22722235913474015)",N/A,30memhg38,TrueDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/FalseDI1230XA/summary_across_samples_and_ROIS.csv,15.700722179285664,149.99999999958314,-87.92966541652706,757.999999944523,-486.91005636106513,6078.012221670974,-794.5647016957889,0.03647960216786352,0.01150976370663904,-556.9566093834247,hematopoietic_specific_liquorice_hg38,healthy_control,-0.86,"(-677.0049045169608, -280.73400851054373)",N/A,-2.76,"(0.05810908254921153, 0.22674770204183847)",N/A,30memhg38noalt,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/True40/summary_across_samples_and_ROIS.csv,14.358177556145954,149.99999999937478,-91.63296552442672,757.999999962857,-488.4683993441381,6078.010043544054,-796.9394358167536,0.04210163138952794,0.01154332965431137,-563.8034122966908,hematopoietic_specific_liquorice_hg38,healthy_control,-0.94,"(-681.4881485018702, -269.37044730366483)",N/A,-2.77,"(0.0641189442851832, 0.23128416528139153)",N/A,30memhg38noalt,True40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/TrueDI26830XA/summary_across_samples_and_ROIS.csv,17.013090786594155,149.9999999995589,-90.52430320698804,757.9999999405852,-503.859323491592,6078.031985963194,-789.0734386240787,0.03546717896540727,0.01216336249645049,-574.9879450861031,hematopoietic_specific_liquorice_hg38,healthy_control,-1.04,"(-681.4822088165606, -277.4285656407602)",N/A,-2.75,"(0.05736331293548649, 0.2286327336088376)",N/A,30memhg38,TrueDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/True40/summary_across_samples_and_ROIS.csv,14.358177556145954,149.99999999937478,-91.63296552442672,757.999999962857,-488.4683993441381,6078.010043544054,-796.9394358167536,0.04210163138952794,0.01154332965431137,-563.8034122966908,hematopoietic_specific_liquorice_hg38,healthy_control,-0.94,"(-681.4881485018702, -269.37044730366483)",N/A,-2.77,"(0.0641189442851832, 0.23128416528139153)",N/A,0memhg38noalt,True40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/TrueDI1230XA/summary_across_samples_and_ROIS.csv,18.325116626887468,149.99999999966218,-91.66128674129617,757.9999999316701,-492.2536161061418,6078.026210684313,-790.0201882202937,0.031814369428756,0.01168187707263196,-563.0249369868051,hematopoietic_specific_liquorice_hg38,healthy_control,-0.89,"(-681.3195521002971, -282.89234310994743)",N/A,-2.79,"(0.05527544585941055, 0.22735403032213872)",N/A,0memhg38,TrueDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/TrueDI26830XA/summary_across_samples_and_ROIS.csv,17.013090786594155,149.9999999995589,-90.52430320698804,757.9999999405852,-503.859323491592,6078.031985963194,-789.0734386240787,0.03546717896540727,0.01216336249645049,-574.9879450861031,hematopoietic_specific_liquorice_hg38,healthy_control,-1.04,"(-681.4822088165606, -277.4285656407602)",N/A,-2.75,"(0.05736331293548649, 0.2286327336088376)",N/A,30memhg38noalt,TrueDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/True40/summary_across_samples_and_ROIS.csv,14.358177556145954,149.99999999937478,-91.63296552442672,757.999999962857,-488.4683993441381,6078.010043544054,-796.9394358167536,0.04210163138952794,0.01154332965431137,-563.8034122966908,hematopoietic_specific_liquorice_hg38,healthy_control,-0.94,"(-681.4881485018702, -269.37044730366483)",N/A,-2.77,"(0.0641189442851832, 0.23128416528139153)",N/A,30memhg38,True40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/TrueDI1230XA/summary_across_samples_and_ROIS.csv,17.183579647658902,149.99999999959925,-91.92458553437989,757.9999999467279,-496.94930903759627,6078.024796881663,-788.4700517749683,0.03529721316235749,0.0117836524704153,-569.3014971395072,hematopoietic_specific_liquorice_hg38,healthy_control,-0.97,"(-676.9642862071934, -290.7781101057302)",N/A,-2.78,"(0.057864530205383194, 0.22722235913474015)",N/A,30memhg38noalt,TrueDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/False40/summary_across_samples_and_ROIS.csv,13.279730691433336,149.99999999938527,-88.55225660826649,757.9999999638072,-481.0788163538835,6078.0156203782435,-800.6866915563527,0.04286342108444432,0.01144241142087606,-554.5601645784482,hematopoietic_specific_liquorice_hg38,healthy_control,-0.85,"(-676.7752043822488, -277.24682790754423)",N/A,-2.77,"(0.06471423357887114, 0.2309442777492191)",N/A,30memhg38,False40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/False40/summary_across_samples_and_ROIS.csv,13.676091171865096,149.99999999936185,-89.3499617151838,757.999999955269,-471.10438687071104,6078.008777855605,-799.7152981717329,0.04157443799115322,0.01118268990508412,-544.9432924898697,hematopoietic_specific_liquorice_hg38,healthy_control,-0.74,"(-676.4586241629164, -280.6251143385373)",N/A,-2.75,"(0.06284081006821898, 0.2302263812186002)",N/A,0memhg38,False40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/False40/summary_across_samples_and_ROIS.csv,13.279730691433336,149.99999999938527,-88.55225660826649,757.9999999638072,-481.0788163538835,6078.0156203782435,-800.6866915563527,0.04286342108444432,0.01144241142087606,-554.5601645784482,hematopoietic_specific_liquorice_hg38,healthy_control,-0.85,"(-676.7752043822488, -277.24682790754423)",N/A,-2.77,"(0.06471423357887114, 0.2309442777492191)",N/A,0memhg38noalt,False40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/FalseDI26830XA/summary_across_samples_and_ROIS.csv,16.266074077155814,149.9999999995259,-89.6734567149282,757.9999999450947,-485.4066558561525,6078.037762649471,-794.6950672628208,0.03579494428918062,0.01162308850913293,-556.5607965837859,hematopoietic_specific_liquorice_hg38,healthy_control,-0.89,"(-669.3603194170521, -288.5828089541338)",N/A,-2.75,"(0.05742537813949114, 0.22735744738612143)",N/A,0memhg38noalt,FalseDI26830XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-26.677575233914524,149.0000000000466,-124.77494477734233,757.9999999135608,-380.3347866818766,6078.030268996748,-710.4509759317004,0.1620624144093935,0.01026930468230062,-536.7152752748441,hematopoietic_specific_liquorice_hg38,healthy_control,-0.62,"(-681.4822088165606, -277.4285656407602)",N/A,0.49,"(0.05736331293548649, 0.2286327336088376)",N/A,30memhg38,TrueDI26830XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-26.71270988843277,149.00000000006474,-122.61144247137872,757.9999999374057,-381.9859163897236,6078.011895999808,-711.5661966919191,0.16112626587865445,0.01027850496418855,-536.2218508207044,hematopoietic_specific_liquorice_hg38,healthy_control,-0.63,"(-677.0049045169608, -280.73400851054373)",N/A,0.49,"(0.05810908254921153, 0.22674770204183847)",N/A,30memhg38noalt,FalseDI1230XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-26.677575233914524,149.0000000000466,-124.77494477734233,757.9999999135608,-380.3347866818766,6078.030268996748,-710.4509759317004,0.1620624144093935,0.01026930468230062,-536.7152752748441,hematopoietic_specific_liquorice_hg38,healthy_control,-0.62,"(-681.4822088165606, -277.4285656407602)",N/A,0.49,"(0.05736331293548649, 0.2286327336088376)",N/A,0memhg38noalt,TrueDI26830XA
