sampleID,phenotype,ref_genome,settings,gc_bias,settings_verbose,trimming,genome,value
LP0020_01,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,169.6554102
LP0020_01,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,169.6175414
LP0020_01,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,169.5517403
LP0020_01,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,169.5299787
LP0020_01,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,169.5957535
LP0020_01,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,169.5333921
LP0020_01,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,169.6132642
LP0020_01,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,169.6004268
LP0020_01,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,169.634171
LP0020_02,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,172.9879561
LP0020_02,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,172.8626081
LP0020_02,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,173.0753253
LP0020_02,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,173.173185
LP0020_02,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,173.2493101
LP0020_02,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,173.2053243
LP0020_02,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,173.1955694
LP0020_02,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,173.0808428
LP0020_02,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,173.1516009
LP0020_02,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,172.8566797
LP0020_02,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,173.1925182
LP0020_02,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,173.1043877
LP0020_02,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,173.0953423
LP0020_02,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,173.0235202
LP0020_02,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,173.0751252
LP0020_02,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,172.8262402
LP0020_02,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,173.0520354
LP0020_02,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,173.1825494
LP0020_02,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,173.1372422
LP0020_02,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,172.9341482
LP0020_02,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,173.1325531
LP0020_02,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,173.1464685
LP0020_02,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,173.0458742
LP0020_02,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,173.1240699
LP0020_02,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,173.1535513
LP0020_02,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,173.1781183
LP0020_02,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,173.1321501
LP0020_02,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,173.1830975
LP0020_02,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,173.1639401
LP0020_02,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,173.0447336
LP0020_02,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,173.0848678
LP0020_02,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,173.0998691
LP0020_03,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,173.2911784
LP0020_03,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,173.38174
LP0020_03,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,172.9388148
LP0020_03,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,173.200191
LP0020_03,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,173.1569316
LP0020_03,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,173.1151664
LP0020_03,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,173.2826477
LP0020_03,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,173.275642
LP0020_03,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,173.2570639
LP0020_03,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,173.2997826
LP0020_03,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,173.214668
LP0020_03,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,173.3545351
LP0020_03,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,173.0733113
LP0020_03,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,173.2829889
LP0020_03,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,173.0430053
LP0020_03,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,172.962356
LP0020_03,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,173.1733379
LP0020_03,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,173.1556339
LP0020_03,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,173.2077786
LP0020_03,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,173.1667785
LP0020_03,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,173.0981669
LP0020_03,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,173.3064878
LP0020_03,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,173.1020636
LP0020_03,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,173.2047064
LP0020_03,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,173.2051857
LP0020_03,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,173.2640818
LP0020_03,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,173.1466097
LP0020_03,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,173.193462
LP0020_03,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,173.2388503
LP0020_03,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,173.2615678
LP0020_03,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,173.31119
LP0020_03,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,173.1722069
LP0020_04,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,171.3454948
LP0020_04,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,171.3078054
LP0020_04,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,171.2275386
LP0020_04,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,171.1395555
LP0020_04,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,171.205357
LP0020_04,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,171.0281274
LP0020_04,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,171.164322
LP0020_04,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,171.010739
LP0020_04,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,171.2706439
LP0020_04,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,171.0507806
LP0020_04,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,171.1959506
LP0020_04,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,171.2219619
LP0020_04,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,171.1815554
LP0020_04,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,171.2562716
LP0020_04,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,171.2228017
LP0020_04,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,171.2921671
LP0020_04,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,171.3068159
LP0020_04,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,171.0633589
LP0020_04,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,171.2071416
LP0020_04,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,171.2643353
LP0020_04,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,171.2081751
LP0020_04,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,171.2722544
LP0020_04,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,171.2837612
LP0020_04,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,171.2793779
LP0020_04,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,171.3073794
LP0020_04,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,171.2009542
LP0020_04,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,171.1876115
LP0020_04,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,171.2078298
LP0020_04,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,171.3016157
LP0020_04,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,171.3089052
LP0020_04,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,171.2348761
LP0020_04,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,171.2249261
LP0020_05,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,169.3113697
LP0020_05,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,169.5502657
LP0020_05,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,169.6168016
LP0020_05,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,169.3481896
LP0020_05,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,169.3784921
LP0020_05,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,169.2710074
LP0020_05,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,169.5525352
LP0020_05,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,169.2386979
LP0020_05,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,169.4490278
LP0020_05,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,169.5008316
LP0020_05,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,169.4203027
LP0020_05,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,169.4331675
LP0020_05,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,169.4446765
LP0020_05,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,169.5088244
LP0020_05,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,169.5797525
LP0020_05,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,169.4016504
LP0020_05,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,169.5499564
LP0020_05,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,169.4345798
LP0020_05,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,169.4060748
LP0020_05,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,169.4559224
LP0020_05,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,169.5132302
LP0020_05,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,169.5288515
LP0020_05,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,169.5072817
LP0020_05,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,169.4314715
LP0020_05,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,169.4297266
LP0020_05,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,169.5394717
LP0020_05,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,169.5186578
LP0020_05,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,169.4312795
LP0020_05,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,169.4858395
LP0020_05,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,169.4963588
LP0020_05,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,169.4243184
LP0020_05,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,169.4880263
LP0020_06,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,167.7184998
LP0020_06,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,167.7229159
LP0020_06,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,167.9022942
LP0020_06,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,167.6936155
LP0020_06,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,167.7887835
LP0020_06,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,167.6197239
LP0020_06,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,167.9946904
LP0020_06,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,167.7816903
LP0020_06,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,167.8600702
LP0020_06,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,167.8800794
LP0020_06,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,167.7023357
LP0020_06,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,167.927767
LP0020_06,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,167.8931436
LP0020_06,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,167.7188482
LP0020_06,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,167.9059372
LP0020_06,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,167.8707753
LP0020_06,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,167.7279369
LP0020_06,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,167.5972751
LP0020_06,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,167.7197877
LP0020_06,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,167.8320792
LP0020_06,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,167.9663552
LP0020_06,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,167.7989085
LP0020_06,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,167.8432251
LP0020_06,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,167.8702155
LP0020_06,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,167.7127611
LP0020_06,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,167.8640354
LP0020_06,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,167.7661335
LP0020_06,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,167.7891951
LP0020_06,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,167.706723
LP0020_06,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,167.8555539
LP0020_06,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,167.7911858
LP0020_06,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,167.7246621
LP0020_07,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,167.2205147
LP0020_07,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,167.1773591
LP0020_07,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,167.2315273
LP0020_07,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,167.388435
LP0020_07,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,167.2901327
LP0020_07,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,167.2483461
LP0020_07,healthy_control,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy,167.279087
LP0020_07,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,167.1170483
LP0020_07,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,167.2859526
LP0020_07,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,167.0353613
LP0020_07,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,167.1754122
LP0020_07,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,167.1390843
LP0020_07,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,167.1102871
LP0020_07,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,167.2849348
LP0020_07,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,167.3660032
LP0020_07,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,167.1495499
LP0020_07,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,167.2903431
LP0020_07,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,167.3068499
LP0020_07,healthy_control,30memhg38,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38,167.2569502
LP0020_07,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,167.0889982
LP0020_07,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,167.0437724
LP0020_07,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,167.2212558
LP0020_07,healthy_control,30memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg38noalt,167.2366329
LP0020_07,healthy_control,30memhg38,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38,167.1772483
LP0020_07,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,167.1175566
LP0020_07,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,167.1788096
LP0020_07,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,167.2196812
LP0020_07,healthy_control,0memhg38noalt,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38noalt,167.2297426
LP0020_07,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,167.1687192
LP0020_07,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,167.2504699
LP0020_07,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,167.1870758
LP0020_07,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,167.2261905
LP0020_08,healthy_control,30memhg38,True40,GC bias corrected,Lenient,Trimmed,hg38,169.2924021
LP0020_08,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,169.4551061
LP0020_08,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,169.3325151
LP0020_08,healthy_control,30memhg38noalt,False40,GC bias not corrected,Lenient,Trimmed,hg38noalt,169.2981094
LP0020_08,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,169.0656598
LP0020_08,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,169.3814926
LP0020_08,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,169.3975408
LP0020_08,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,169.1365141
LP0020_08,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,169.2281267
LP0020_08,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,169.1126362
LP0020_08,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,169.353233
LP0020_08,healthy_control,30memhg38noalt,True40,GC bias corrected,Lenient,Trimmed,hg38noalt,169.235711
LP0020_08,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,169.4321185
LP0020_08,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,169.0842433
LP0020_08,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,169.2779939
LP0020_08,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,169.2773693
LP0020_08,healthy_control,30memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg38noalt,169.2488655
