sampleID,phenotype,value,ref_genome,settings,gc_bias,settings_verbose,trimming,genome
LP0026_42_L004,lung_cancer,0.978220897,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0027_26_L003,lung_cancer,0.970715967,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0027_35_L003,lung_cancer,0.980360626,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0027_39_L003,lung_cancer,0.97172313,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0028_01_L004,lung_cancer,0.98901611,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0029_02_L004,healthy_control,0.994032605,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0029_04_L003,healthy_control,0.985848017,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0029_05_L004,healthy_control,0.989561426,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0029_06_L003,healthy_control,0.988811829,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0030_03_L004,healthy_control,0.987343833,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0030_05_L004,healthy_control,0.9910122,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.969071856,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_02_L004,healthy_control,0.936437359,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_03_L003,healthy_control,0.97961481,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.986345021,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_05_L003,lung_cancer,0.969843219,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_06_L003,lung_cancer,0.98283846,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_07_L004,healthy_control,0.979827967,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_08_L004,healthy_control,0.990834241,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.443973283,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.991012551,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_12_L003,lung_cancer,0.974325692,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.978401039,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_17_L003,lung_cancer,0.973837619,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_21_L004,lung_cancer,0.942478231,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_24_L003,lung_cancer,0.977954531,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_05_L003,lung_cancer,0.887021272,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_07_L003,lung_cancer,0.953910664,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_08_L003,lung_cancer,0.817045936,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_22_L003,lung_cancer,0.947005778,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_26_L004,lung_cancer,0.61627634,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_38_L004,lung_cancer,0.947406848,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0026_42_L004,lung_cancer,0.933542167,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0027_26_L003,lung_cancer,0.935006796,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0027_35_L003,lung_cancer,0.942862551,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0027_39_L003,lung_cancer,0.923838176,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0028_01_L004,lung_cancer,0.970875295,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0029_02_L004,healthy_control,0.99136578,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0029_04_L003,healthy_control,0.97329425,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0029_05_L004,healthy_control,0.981752263,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0029_06_L003,healthy_control,0.966021991,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0030_03_L004,healthy_control,0.973340297,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0030_05_L004,healthy_control,0.989145886,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.985013994,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_02_L004,healthy_control,0.986765886,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_03_L003,healthy_control,0.993592518,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.991241725,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_05_L003,lung_cancer,0.987684636,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_06_L003,lung_cancer,0.994510111,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_07_L004,healthy_control,0.984569833,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_08_L004,healthy_control,0.990531249,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.550724362,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.989036845,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_12_L003,lung_cancer,0.978924383,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.982904693,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_17_L003,lung_cancer,0.980005209,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_21_L004,lung_cancer,0.978700123,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_24_L003,lung_cancer,0.986279517,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_05_L003,lung_cancer,0.964694604,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_07_L003,lung_cancer,0.977636975,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_08_L003,lung_cancer,0.9253648,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_22_L003,lung_cancer,0.977156531,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_26_L004,lung_cancer,0.771669054,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_38_L004,lung_cancer,0.973644498,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0026_42_L004,lung_cancer,0.97640218,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0027_26_L003,lung_cancer,0.970478911,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0027_35_L003,lung_cancer,0.978320151,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0027_39_L003,lung_cancer,0.970107466,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0028_01_L004,lung_cancer,0.988520374,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0029_02_L004,healthy_control,0.993923897,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0029_04_L003,healthy_control,0.985901099,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0029_05_L004,healthy_control,0.991105219,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0029_06_L003,healthy_control,0.989341277,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0030_03_L004,healthy_control,0.991407646,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0030_05_L004,healthy_control,0.99123412,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.974512563,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_02_L004,healthy_control,0.968537089,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_03_L003,healthy_control,0.98113445,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.988337746,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_05_L003,lung_cancer,0.968622898,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_06_L003,lung_cancer,0.983710842,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_07_L004,healthy_control,0.976598942,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_08_L004,healthy_control,0.993587009,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.402411231,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.991149244,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_12_L003,lung_cancer,0.976929931,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.977915689,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_17_L003,lung_cancer,0.97392863,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_21_L004,lung_cancer,0.952848314,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_24_L003,lung_cancer,0.982480265,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_05_L003,lung_cancer,0.925693845,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_07_L003,lung_cancer,0.967537638,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_08_L003,lung_cancer,0.799823248,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_22_L003,lung_cancer,0.944021593,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_26_L004,lung_cancer,0.601797675,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_38_L004,lung_cancer,0.943114438,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0026_42_L004,lung_cancer,0.929749925,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0027_26_L003,lung_cancer,0.933189159,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0027_35_L003,lung_cancer,0.939823996,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0027_39_L003,lung_cancer,0.921236231,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0028_01_L004,lung_cancer,0.969337158,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0029_02_L004,healthy_control,0.991654524,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0029_04_L003,healthy_control,0.975516967,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0029_05_L004,healthy_control,0.993472013,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0029_06_L003,healthy_control,0.969752021,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0030_03_L004,healthy_control,0.982848932,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0030_05_L004,healthy_control,0.990064611,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.971586336,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,0.912392719,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,0.979214451,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,0.974043988,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_05_L003,lung_cancer,0.98173656,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,0.987410028,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,0.982762424,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_08_L004,healthy_control,0.983166284,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.268307765,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.97899865,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_12_L003,lung_cancer,0.981718846,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.974516189,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_17_L003,lung_cancer,0.964663258,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_21_L004,lung_cancer,0.914638395,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_24_L003,lung_cancer,0.978432721,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_05_L003,lung_cancer,0.854151236,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_07_L003,lung_cancer,0.950395088,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_08_L003,lung_cancer,0.75723816,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_22_L003,lung_cancer,0.920961134,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_26_L004,lung_cancer,0.541360901,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_38_L004,lung_cancer,0.917805316,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0026_42_L004,lung_cancer,0.908805462,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0027_26_L003,lung_cancer,0.902939178,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0027_35_L003,lung_cancer,0.928902966,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0027_39_L003,lung_cancer,0.910476186,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0028_01_L004,lung_cancer,0.958955856,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0029_02_L004,healthy_control,0.987724157,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0029_04_L003,healthy_control,0.973594733,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0029_05_L004,healthy_control,0.964535295,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0029_06_L003,healthy_control,0.978936455,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0030_03_L004,healthy_control,0.962727264,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0030_05_L004,healthy_control,0.98785616,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.987259862,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,0.917165929,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,0.987068653,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,0.990746173,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_05_L003,lung_cancer,0.984001915,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,0.99064117,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,0.989045717,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_08_L004,healthy_control,0.98852691,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.376387328,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.989093025,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_12_L003,lung_cancer,0.986160265,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.974082029,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_17_L003,lung_cancer,0.969538414,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_21_L004,lung_cancer,0.921253959,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_24_L003,lung_cancer,0.983984796,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_05_L003,lung_cancer,0.8771717,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_07_L003,lung_cancer,0.964512166,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_08_L003,lung_cancer,0.718452528,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_22_L003,lung_cancer,0.918913644,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_26_L004,lung_cancer,0.611133246,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_38_L004,lung_cancer,0.923116822,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0026_42_L004,lung_cancer,0.89797986,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0027_26_L003,lung_cancer,0.91098564,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0027_35_L003,lung_cancer,0.92004046,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0027_39_L003,lung_cancer,0.901038119,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0028_01_L004,lung_cancer,0.957019063,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0029_02_L004,healthy_control,0.991995489,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0029_04_L003,healthy_control,0.973441606,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0029_05_L004,healthy_control,0.974523886,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0029_06_L003,healthy_control,0.984504314,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0030_03_L004,healthy_control,0.976688081,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0030_05_L004,healthy_control,0.99363253,0memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.975421428,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,0.954680461,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_03_L003,healthy_control,0.979285767,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_04_L004,healthy_control,0.975584223,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_05_L003,lung_cancer,0.980352566,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_06_L003,lung_cancer,0.986063493,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_07_L004,healthy_control,0.978760083,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_08_L004,healthy_control,0.986149715,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_10_L003,lung_cancer,0.261553819,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_11_L003,lung_cancer,0.978815396,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_12_L003,lung_cancer,0.981155687,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_15_L003,lung_cancer,0.972392347,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_17_L003,lung_cancer,0.962989889,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_21_L004,lung_cancer,0.928076752,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_24_L003,lung_cancer,0.984932646,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_05_L003,lung_cancer,0.898576667,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_07_L003,lung_cancer,0.965476286,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_08_L003,lung_cancer,0.739713131,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_22_L003,lung_cancer,0.915145268,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_26_L004,lung_cancer,0.530510309,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_38_L004,lung_cancer,0.908857851,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0026_42_L004,lung_cancer,0.902073509,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0027_26_L003,lung_cancer,0.896211553,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0027_35_L003,lung_cancer,0.9222278,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0027_39_L003,lung_cancer,0.90524802,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0028_01_L004,lung_cancer,0.956095011,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0029_02_L004,healthy_control,0.988268156,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0029_04_L003,healthy_control,0.976327646,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0029_05_L004,healthy_control,0.983284767,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0029_06_L003,healthy_control,0.978887161,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0030_03_L004,healthy_control,0.976794425,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0030_05_L004,healthy_control,0.987491682,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.991365233,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,0.963051226,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy
